dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
Handwriting,linear_circular_conv_sinusoidal,0.1707 ± 0.0180,0.1707,0.0268,0.0180,8,10
Handwriting,linear_component_wise_sinusoidal,0.1424 ± 0.0313,0.1424,0.0467,0.0313,8,10
Handwriting,linear_component_wise_split_sinusoidal,0.1625 ± 0.0108,0.1625,0.0161,0.0108,8,10
Heartbeat,1d_conv_additive_sinusoidal,0.4737 ± 0.0669,0.4737,0.1079,0.0669,9,10
Heartbeat,1d_conv_circular_conv_sinusoidal,0.7244 ± 0.0085,0.7244,0.0128,0.0085,8,10
Heartbeat,1d_conv_circular_conv_split_sinusoidal,0.7348 ± 0.0116,0.7348,0.0173,0.0116,8,10
Heartbeat,1d_conv_component_wise_sinusoidal,0.7281 ± 0.0060,0.7281,0.0089,0.0060,8,10
Heartbeat,linear_additive_sinusoidal,0.4732 ± 0.0729,0.4732,0.1088,0.0729,8,10
Heartbeat,linear_additive_split_sinusoidal,0.5134 ± 0.0565,0.5134,0.0844,0.0565,8,10
Heartbeat,linear_circular_conv_sinusoidal,0.7323 ± 0.0098,0.7323,0.0146,0.0098,8,10
Heartbeat,linear_component_wise_sinusoidal,0.7226 ± 0.0188,0.7226,0.0280,0.0188,8,10
Heartbeat,linear_component_wise_split_sinusoidal,0.7158 ± 0.0060,0.7158,0.0090,0.0060,8,10
InsectWingbeat,1d_conv_additive_sinusoidal,0.0986 ± 0.0028,0.0986,0.0042,0.0028,8,10
InsectWingbeat,1d_conv_circular_conv_sinusoidal,0.5850 ± 0.0015,0.5850,0.0023,0.0015,8,10
InsectWingbeat,1d_conv_circular_conv_split_sinusoidal,0.5696 ± 0.0025,0.5696,0.0038,0.0025,8,10
InsectWingbeat,1d_conv_component_wise_sinusoidal,0.6028 ± 0.0017,0.6028,0.0025,0.0017,8,10
InsectWingbeat,linear_additive_sinusoidal,0.0945 ± 0.0016,0.0945,0.0024,0.0016,8,10
InsectWingbeat,linear_additive_split_sinusoidal,0.0999 ± 0.0013,0.0999,0.0019,0.0013,8,10
InsectWingbeat,linear_circular_conv_sinusoidal,0.6144 ± 0.0015,0.6144,0.0024,0.0015,9,10
InsectWingbeat,linear_component_wise_sinusoidal,0.6341 ± 0.0019,0.6341,0.0028,0.0019,8,10
InsectWingbeat,linear_component_wise_split_sinusoidal,0.6354 ± 0.0029,0.6354,0.0043,0.0029,8,10
LSST,1d_conv_additive_sinusoidal,0.0606 ± 0.0274,0.0606,0.0409,0.0274,8,10
LSST,1d_conv_circular_conv_sinusoidal,0.5477 ± 0.0098,0.5477,0.0147,0.0098,8,10
LSST,1d_conv_circular_conv_split_sinusoidal,0.5565 ± 0.0045,0.5565,0.0067,0.0045,8,10
LSST,1d_conv_component_wise_sinusoidal,0.6095 ± 0.0052,0.6095,0.0078,0.0052,8,10
LSST,linear_additive_sinusoidal,0.2758 ± 0.0909,0.2758,0.1356,0.0909,8,10
LSST,linear_additive_split_sinusoidal,0.3809 ± 0.0226,0.3809,0.0337,0.0226,8,10
LSST,linear_circular_conv_sinusoidal,0.5535 ± 0.0070,0.5535,0.0104,0.0070,8,10
LSST,linear_component_wise_sinusoidal,0.5968 ± 0.0087,0.5968,0.0130,0.0087,8,10
LSST,linear_component_wise_split_sinusoidal,0.5899 ± 0.0074,0.5899,0.0111,0.0074,8,10
Libras,1d_conv_additive_sinusoidal,0.3090 ± 0.2052,0.3090,0.3063,0.2052,8,10
Libras,1d_conv_circular_conv_sinusoidal,0.6569 ± 0.0155,0.6569,0.0231,0.0155,8,10
Libras,1d_conv_circular_conv_split_sinusoidal,0.6648 ± 0.0125,0.6648,0.0202,0.0125,9,10
Libras,1d_conv_component_wise_sinusoidal,0.6743 ± 0.0177,0.6743,0.0264,0.0177,8,10
Libras,linear_additive_sinusoidal,0.6819 ± 0.0133,0.6819,0.0198,0.0133,8,10
Libras,linear_additive_split_sinusoidal,0.7021 ± 0.0149,0.7021,0.0222,0.0149,8,10
Libras,linear_circular_conv_sinusoidal,0.6320 ± 0.0186,0.6320,0.0278,0.0186,8,10
Libras,linear_component_wise_sinusoidal,0.5799 ± 0.1400,0.5799,0.2090,0.1400,8,10
Libras,linear_component_wise_split_sinusoidal,0.5993 ± 0.1388,0.5993,0.2073,0.1388,8,10
MotorImagery,1d_conv_additive_sinusoidal,0.4889 ± 0.0207,0.4889,0.0333,0.0207,9,10
MotorImagery,1d_conv_circular_conv_sinusoidal,0.4811 ± 0.0195,0.4811,0.0314,0.0195,9,10
MotorImagery,1d_conv_circular_conv_split_sinusoidal,0.5067 ± 0.0217,0.5067,0.0350,0.0217,9,10
MotorImagery,1d_conv_component_wise_sinusoidal,0.4950 ± 0.0345,0.4950,0.0515,0.0345,8,10
MotorImagery,linear_additive_sinusoidal,0.4912 ± 0.0181,0.4912,0.0270,0.0181,8,10
MotorImagery,linear_additive_split_sinusoidal,0.4775 ± 0.0182,0.4775,0.0271,0.0182,8,10
MotorImagery,linear_circular_conv_sinusoidal,0.5022 ± 0.0240,0.5022,0.0387,0.0240,9,10
MotorImagery,linear_component_wise_sinusoidal,0.4600 ± 0.0215,0.4600,0.0346,0.0215,9,10
MotorImagery,linear_component_wise_split_sinusoidal,0.4950 ± 0.0235,0.4950,0.0351,0.0235,8,10
NATOPS,1d_conv_additive_sinusoidal,0.4528 ± 0.2181,0.4528,0.3257,0.2181,8,10
NATOPS,1d_conv_circular_conv_sinusoidal,0.8000 ± 0.0154,0.8000,0.0230,0.0154,8,10
NATOPS,1d_conv_circular_conv_split_sinusoidal,0.8222 ± 0.0198,0.8222,0.0296,0.0198,8,10
NATOPS,1d_conv_component_wise_sinusoidal,0.8459 ± 0.0218,0.8459,0.0325,0.0218,8,10
NATOPS,linear_additive_sinusoidal,0.7070 ± 0.0216,0.7070,0.0322,0.0216,8,10
NATOPS,linear_additive_split_sinusoidal,0.7389 ± 0.0146,0.7389,0.0218,0.0146,8,10
NATOPS,linear_circular_conv_sinusoidal,0.7861 ± 0.0354,0.7861,0.0529,0.0354,8,10
NATOPS,linear_component_wise_sinusoidal,0.8285 ± 0.0352,0.8285,0.0526,0.0352,8,10
NATOPS,linear_component_wise_split_sinusoidal,0.8479 ± 0.0279,0.8479,0.0417,0.0279,8,10
PEMS-SF,1d_conv_additive_sinusoidal,0.1488 ± 0.0305,0.1488,0.0455,0.0305,8,10
PEMS-SF,1d_conv_circular_conv_sinusoidal,0.7876 ± 0.0257,0.7876,0.0383,0.0257,8,10
PEMS-SF,1d_conv_circular_conv_split_sinusoidal,0.8071 ± 0.0204,0.8071,0.0304,0.0204,8,10
PEMS-SF,1d_conv_component_wise_sinusoidal,0.7854 ± 0.0170,0.7854,0.0254,0.0170,8,10
PEMS-SF,linear_additive_sinusoidal,0.1329 ± 0.0172,0.1329,0.0257,0.0172,8,10
PEMS-SF,linear_additive_split_sinusoidal,0.3107 ± 0.1500,0.3107,0.2239,0.1500,8,10
PEMS-SF,linear_circular_conv_sinusoidal,0.7900 ± 0.0254,0.7900,0.0409,0.0254,9,10
PEMS-SF,linear_component_wise_sinusoidal,0.7847 ± 0.0173,0.7847,0.0258,0.0173,8,10
PEMS-SF,linear_component_wise_split_sinusoidal,0.7637 ± 0.0188,0.7637,0.0280,0.0188,8,10
PenDigits,1d_conv_additive_sinusoidal,0.9807 ± 0.0012,0.9807,0.0018,0.0012,8,10
PenDigits,1d_conv_circular_conv_sinusoidal,0.9790 ± 0.0024,0.9790,0.0039,0.0024,9,10
PenDigits,1d_conv_circular_conv_split_sinusoidal,0.9793 ± 0.0014,0.9793,0.0020,0.0014,8,10
PenDigits,1d_conv_component_wise_sinusoidal,0.9858 ± 0.0011,0.9858,0.0017,0.0011,8,10
PenDigits,linear_additive_sinusoidal,0.9778 ± 0.0013,0.9778,0.0022,0.0013,9,10
PenDigits,linear_additive_split_sinusoidal,0.9786 ± 0.0010,0.9786,0.0015,0.0010,8,10
PenDigits,linear_circular_conv_sinusoidal,0.9444 ± 0.0037,0.9444,0.0056,0.0037,8,10
PenDigits,linear_component_wise_sinusoidal,0.9575 ± 0.0018,0.9575,0.0028,0.0018,8,10
PenDigits,linear_component_wise_split_sinusoidal,0.9571 ± 0.0030,0.9571,0.0045,0.0030,8,10
PhonemeSpectra,1d_conv_additive_sinusoidal,0.0304 ± 0.0043,0.0304,0.0064,0.0043,8,10
PhonemeSpectra,1d_conv_circular_conv_sinusoidal,0.1528 ± 0.0050,0.1528,0.0075,0.0050,8,10
PhonemeSpectra,1d_conv_circular_conv_split_sinusoidal,0.1540 ± 0.0019,0.1540,0.0028,0.0019,8,10
PhonemeSpectra,1d_conv_component_wise_sinusoidal,0.1532 ± 0.0040,0.1532,0.0060,0.0040,8,10
PhonemeSpectra,linear_additive_sinusoidal,0.0407 ± 0.0184,0.0407,0.0275,0.0184,8,10
PhonemeSpectra,linear_additive_split_sinusoidal,0.0316 ± 0.0138,0.0316,0.0206,0.0138,8,10
PhonemeSpectra,linear_circular_conv_sinusoidal,0.0684 ± 0.0026,0.0684,0.0039,0.0026,8,10
PhonemeSpectra,linear_component_wise_sinusoidal,0.0704 ± 0.0031,0.0704,0.0047,0.0031,8,10
PhonemeSpectra,linear_component_wise_split_sinusoidal,0.0707 ± 0.0017,0.0707,0.0025,0.0017,8,10
RacketSports,1d_conv_additive_sinusoidal,0.2327 ± 0.0298,0.2327,0.0445,0.0298,8,10
