dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_conv_sinusoidal,9,0.8419,0.3576,0.7555,0.5621,0.7957,0.6697,0.2676,144,2,62,4712,3524,1178,25,31.15
FaceDetection,linear_conv_learnable_sinusoidal,9,0.8805,0.2952,0.7725,0.5953,0.86,0.6663,0.2676,144,2,62,4712,3524,1178,18,25.18
FaceDetection,linear_conv_0_8_gaussian_fpe,9,0.8207,0.3963,0.7165,0.6587,0.8287,0.6274,0.2677,144,2,62,4712,3524,1178,18,26.04
FaceDetection,linear_conv_1_sinc_fpe,9,0.7164,0.5591,0.6825,0.6141,0.7219,0.6098,0.2675,144,2,62,4712,3524,1178,18,25.64
FaceDetection,linear_conv_2_sinc_fpe,9,0.7818,0.4542,0.7045,0.621,0.7342,0.641,0.2677,144,2,62,4712,3524,1178,15,23.26
FaceDetection,linear_conv_5_sinc_fpe,9,0.778,0.479,0.7614,0.5205,0.657,0.6668,0.2675,144,2,62,4712,3524,1178,18,24.39
FaceDetection,linear_no_pe,10,0.5762,0.6764,0.5662,0.6896,0.6922,0.5346,0.2664,144,2,62,4712,3524,1178,19,24.89
FaceDetection,linear_conv_random_pe,10,0.8262,0.3854,0.7343,0.6038,0.8031,0.6416,0.2676,144,2,62,4712,3524,1178,19,26.12
FaceDetection,linear_conv_learnable_random_pe,10,0.8742,0.3101,0.7683,0.5771,0.8515,0.6561,0.2674,144,2,62,4712,3524,1178,17,24.12
FaceDetection,linear_conv_sinusoidal,10,0.8349,0.3731,0.7572,0.5966,0.7926,0.664,0.2676,144,2,62,4712,3524,1178,27,32.5
FaceDetection,linear_conv_learnable_sinusoidal,10,0.8763,0.3015,0.764,0.5906,0.8373,0.67,0.2676,144,2,62,4712,3524,1178,18,25.62
FaceDetection,linear_conv_0_8_gaussian_fpe,10,0.7351,0.5309,0.7003,0.5988,0.698,0.6294,0.2675,144,2,62,4712,3524,1178,16,23.98
FaceDetection,linear_conv_1_sinc_fpe,10,0.7564,0.507,0.6418,0.7058,0.8161,0.5834,0.2677,144,2,62,4712,3524,1178,17,24.3
FaceDetection,linear_conv_2_sinc_fpe,10,0.7625,0.4962,0.7174,0.5838,0.7054,0.6339,0.2675,144,2,62,4712,3524,1178,17,24.04
FaceDetection,linear_conv_5_sinc_fpe,10,0.7665,0.4845,0.7648,0.5221,0.6574,0.664,0.2675,144,2,62,4712,3524,1178,18,25.66
InsectWingbeat,linear_no_pe,1,0.6705,0.8888,0.5884,1.1749,1.1884,0.5737,0.2553,200,10,22,20000,25000,5000,58,89.9
InsectWingbeat,linear_conv_random_pe,1,0.69,0.8014,0.5634,1.2877,1.2656,0.5581,0.2565,200,10,22,20000,25000,5000,29,52.12
InsectWingbeat,linear_conv_learnable_random_pe,1,0.7242,0.7031,0.609,1.1346,1.126,0.605,0.2565,200,10,22,20000,25000,5000,28,49.43
InsectWingbeat,linear_conv_sinusoidal,1,0.6281,0.9727,0.5982,1.0552,1.067,0.5952,0.2565,200,10,22,20000,25000,5000,60,99.66
InsectWingbeat,linear_conv_learnable_sinusoidal,1,0.6735,0.8344,0.6026,1.0897,1.0817,0.5984,0.2565,200,10,22,20000,25000,5000,36,61.43
InsectWingbeat,linear_conv_0_8_gaussian_fpe,1,0.7114,0.7299,0.6208,1.0462,1.0575,0.6198,0.2566,200,10,22,20000,25000,5000,26,46.61
InsectWingbeat,linear_conv_1_sinc_fpe,1,0.7142,0.7259,0.6244,1.0388,1.0717,0.6122,0.2565,200,10,22,20000,25000,5000,29,51.77
InsectWingbeat,linear_conv_2_sinc_fpe,1,0.7216,0.7228,0.619,1.0504,1.0692,0.6126,0.2565,200,10,22,20000,25000,5000,25,46.26
InsectWingbeat,linear_conv_5_sinc_fpe,1,0.707,0.7468,0.6084,1.0891,1.1105,0.5992,0.2565,200,10,22,20000,25000,5000,25,45.58
InsectWingbeat,linear_no_pe,2,0.6668,0.9098,0.5934,1.1561,1.1807,0.5783,0.2553,200,10,22,20000,25000,5000,54,81.69
InsectWingbeat,linear_conv_random_pe,2,0.6929,0.7935,0.5628,1.2541,1.27,0.559,0.2565,200,10,22,20000,25000,5000,31,56.25
InsectWingbeat,linear_conv_learnable_random_pe,2,0.7116,0.7314,0.5992,1.123,1.153,0.5948,0.2565,200,10,22,20000,25000,5000,27,49.07
InsectWingbeat,linear_conv_sinusoidal,2,0.6744,0.8351,0.6212,1.0171,1.0309,0.6142,0.2565,200,10,22,20000,25000,5000,90,146.36
InsectWingbeat,linear_conv_learnable_sinusoidal,2,0.6894,0.7983,0.609,1.0787,1.0845,0.6066,0.2565,200,10,22,20000,25000,5000,33,58.63
InsectWingbeat,linear_conv_0_8_gaussian_fpe,2,0.7278,0.6929,0.6236,1.0627,1.1111,0.6078,0.2566,200,10,22,20000,25000,5000,28,49.99
InsectWingbeat,linear_conv_1_sinc_fpe,2,0.6989,0.7742,0.6164,1.074,1.0752,0.6117,0.2565,200,10,22,20000,25000,5000,24,44.46
InsectWingbeat,linear_conv_2_sinc_fpe,2,0.729,0.692,0.627,1.0491,1.102,0.6062,0.2565,200,10,22,20000,25000,5000,33,57.12
InsectWingbeat,linear_conv_5_sinc_fpe,2,0.6866,0.8175,0.6058,1.0847,1.1155,0.5936,0.2565,200,10,22,20000,25000,5000,27,48.68
InsectWingbeat,linear_no_pe,3,0.6529,0.9471,0.5764,1.1882,1.1999,0.5673,0.2553,200,10,22,20000,25000,5000,49,74.54
InsectWingbeat,linear_conv_random_pe,3,0.6836,0.815,0.5614,1.2708,1.2583,0.5599,0.2565,200,10,22,20000,25000,5000,29,50.82
InsectWingbeat,linear_conv_learnable_random_pe,3,0.7039,0.7492,0.5808,1.2353,1.2516,0.5667,0.2565,200,10,22,20000,25000,5000,28,49.36
InsectWingbeat,linear_conv_sinusoidal,3,0.6452,0.9279,0.5992,1.0731,1.0665,0.6011,0.2565,200,10,22,20000,25000,5000,72,116.23
InsectWingbeat,linear_conv_learnable_sinusoidal,3,0.6961,0.7682,0.618,1.0461,1.0609,0.6133,0.2565,200,10,22,20000,25000,5000,38,65.43
InsectWingbeat,linear_conv_0_8_gaussian_fpe,3,0.7288,0.7038,0.6224,1.0417,1.1056,0.6126,0.2566,200,10,22,20000,25000,5000,29,51.33
InsectWingbeat,linear_conv_1_sinc_fpe,3,0.7107,0.7365,0.6288,1.007,1.0623,0.6207,0.2565,200,10,22,20000,25000,5000,31,53.98
InsectWingbeat,linear_conv_2_sinc_fpe,3,0.7165,0.7159,0.6198,1.0635,1.0911,0.615,0.2565,200,10,22,20000,25000,5000,29,51.48
InsectWingbeat,linear_conv_5_sinc_fpe,3,0.701,0.7654,0.6016,1.1214,1.1391,0.5922,0.2565,200,10,22,20000,25000,5000,24,43.39
InsectWingbeat,linear_no_pe,4,0.6915,0.8385,0.5946,1.1698,1.1736,0.5875,0.2553,200,10,22,20000,25000,5000,67,102.42
InsectWingbeat,linear_conv_random_pe,4,0.689,0.8058,0.5602,1.2573,1.2619,0.5537,0.2565,200,10,22,20000,25000,5000,29,52.1
InsectWingbeat,linear_conv_learnable_random_pe,4,0.6976,0.772,0.6018,1.1131,1.1179,0.5984,0.2565,200,10,22,20000,25000,5000,24,42.93
InsectWingbeat,linear_conv_sinusoidal,4,0.6628,0.8718,0.6154,1.0394,1.0591,0.6036,0.2565,200,10,22,20000,25000,5000,66,109.13
InsectWingbeat,linear_conv_learnable_sinusoidal,4,0.6755,0.8234,0.63,1.0325,1.0517,0.6128,0.2565,200,10,22,20000,25000,5000,32,57.3
InsectWingbeat,linear_conv_0_8_gaussian_fpe,4,0.7196,0.7153,0.6282,1.0343,1.079,0.6169,0.2566,200,10,22,20000,25000,5000,29,52.78
InsectWingbeat,linear_conv_1_sinc_fpe,4,0.7009,0.7593,0.6282,1.0303,1.055,0.6183,0.2565,200,10,22,20000,25000,5000,26,47.2
InsectWingbeat,linear_conv_2_sinc_fpe,4,0.7109,0.7364,0.6214,1.0514,1.0787,0.6104,0.2565,200,10,22,20000,25000,5000,28,49.94
InsectWingbeat,linear_conv_5_sinc_fpe,4,0.7057,0.7487,0.6046,1.1322,1.1392,0.5966,0.2565,200,10,22,20000,25000,5000,27,47.51
InsectWingbeat,linear_no_pe,5,0.6673,0.8941,0.5766,1.199,1.2126,0.5698,0.2553,200,10,22,20000,25000,5000,57,87.09
InsectWingbeat,linear_conv_random_pe,5,0.6849,0.8128,0.5524,1.3026,1.2844,0.5537,0.2565,200,10,22,20000,25000,5000,31,55.08
InsectWingbeat,linear_conv_learnable_random_pe,5,0.7208,0.722,0.5894,1.177,1.1532,0.5911,0.2565,200,10,22,20000,25000,5000,29,51.35
InsectWingbeat,linear_conv_sinusoidal,5,0.6486,0.9119,0.6054,1.0766,1.0698,0.602,0.2565,200,10,22,20000,25000,5000,65,106.51
InsectWingbeat,linear_conv_learnable_sinusoidal,5,0.6835,0.7987,0.6182,1.0396,1.0705,0.604,0.2565,200,10,22,20000,25000,5000,35,60.51
InsectWingbeat,linear_conv_0_8_gaussian_fpe,5,0.723,0.7095,0.62,1.0541,1.073,0.6146,0.2566,200,10,22,20000,25000,5000,26,47.3
InsectWingbeat,linear_conv_1_sinc_fpe,5,0.7279,0.7023,0.63,1.0411,1.0829,0.6128,0.2565,200,10,22,20000,25000,5000,29,51.52
InsectWingbeat,linear_conv_2_sinc_fpe,5,0.6999,0.7726,0.6224,1.0361,1.0658,0.6135,0.2565,200,10,22,20000,25000,5000,28,50.82
InsectWingbeat,linear_conv_5_sinc_fpe,5,0.7014,0.7671,0.6068,1.1155,1.1221,0.5957,0.2565,200,10,22,20000,25000,5000,25,45.56
InsectWingbeat,linear_no_pe,6,0.6536,0.9311,0.5856,1.176,1.1924,0.572,0.2553,200,10,22,20000,25000,5000,58,89.03
InsectWingbeat,linear_conv_random_pe,6,0.6977,0.7782,0.5686,1.2599,1.2534,0.5642,0.2565,200,10,22,20000,25000,5000,31,55.26
InsectWingbeat,linear_conv_learnable_random_pe,6,0.7253,0.6968,0.606,1.1323,1.1456,0.5964,0.2565,200,10,22,20000,25000,5000,31,56.29
InsectWingbeat,linear_conv_sinusoidal,6,0.6639,0.8512,0.6108,1.0397,1.0565,0.6071,0.2565,200,10,22,20000,25000,5000,83,134.5
InsectWingbeat,linear_conv_learnable_sinusoidal,6,0.6944,0.7815,0.6064,1.0949,1.0798,0.6025,0.2565,200,10,22,20000,25000,5000,36,62.08
InsectWingbeat,linear_conv_0_8_gaussian_fpe,6,0.709,0.7445,0.6236,1.0449,1.0606,0.6203,0.2566,200,10,22,20000,25000,5000,26,47.45
InsectWingbeat,linear_conv_1_sinc_fpe,6,0.7013,0.7697,0.6268,1.025,1.0523,0.6144,0.2565,200,10,22,20000,25000,5000,27,49.12
InsectWingbeat,linear_conv_2_sinc_fpe,6,0.7123,0.7363,0.6208,1.0421,1.077,0.6136,0.2565,200,10,22,20000,25000,5000,32,56.38
InsectWingbeat,linear_conv_5_sinc_fpe,6,0.718,0.7255,0.6082,1.0867,1.1321,0.599,0.2565,200,10,22,20000,25000,5000,28,49.41
InsectWingbeat,linear_no_pe,7,0.6768,0.8757,0.5896,1.1567,1.1777,0.5809,0.2553,200,10,22,20000,25000,5000,60,91.69
InsectWingbeat,linear_conv_random_pe,7,0.646,0.9165,0.5536,1.2586,1.2627,0.5462,0.2565,200,10,22,20000,25000,5000,32,57.14
InsectWingbeat,linear_conv_learnable_random_pe,7,0.7187,0.7213,0.608,1.1153,1.1406,0.5994,0.2565,200,10,22,20000,25000,5000,25,45.12
InsectWingbeat,linear_conv_sinusoidal,7,0.6269,0.9696,0.5952,1.0862,1.0914,0.5855,0.2565,200,10,22,20000,25000,5000,57,95.26
InsectWingbeat,linear_conv_learnable_sinusoidal,7,0.7014,0.7747,0.6182,1.0727,1.1025,0.6038,0.2565,200,10,22,20000,25000,5000,38,65.69
InsectWingbeat,linear_conv_0_8_gaussian_fpe,7,0.6831,0.8036,0.618,1.0527,1.0624,0.61,0.2566,200,10,22,20000,25000,5000,27,49.34
InsectWingbeat,linear_conv_1_sinc_fpe,7,0.7125,0.7406,0.632,1.01,1.0375,0.6219,0.2565,200,10,22,20000,25000,5000,31,54.89
InsectWingbeat,linear_conv_2_sinc_fpe,7,0.7115,0.7436,0.6208,1.0414,1.0672,0.6159,0.2565,200,10,22,20000,25000,5000,25,45.51
InsectWingbeat,linear_conv_5_sinc_fpe,7,0.7223,0.7146,0.6074,1.1413,1.1406,0.6026,0.2565,200,10,22,20000,25000,5000,30,53.71
InsectWingbeat,linear_no_pe,8,0.6727,0.8816,0.5828,1.1849,1.2224,0.5697,0.2553,200,10,22,20000,25000,5000,54,84.08
InsectWingbeat,linear_conv_random_pe,8,0.709,0.7472,0.5648,1.2843,1.3022,0.556,0.2565,200,10,22,20000,25000,5000,33,58.11
InsectWingbeat,linear_conv_learnable_random_pe,8,0.707,0.7507,0.5908,1.1769,1.1974,0.5806,0.2565,200,10,22,20000,25000,5000,24,44.61
InsectWingbeat,linear_conv_sinusoidal,8,0.6565,0.9002,0.6118,1.0756,1.0776,0.597,0.2565,200,10,22,20000,25000,5000,83,135.16
InsectWingbeat,linear_conv_learnable_sinusoidal,8,0.7158,0.7249,0.6112,1.1079,1.1109,0.6074,0.2565,200,10,22,20000,25000,5000,43,74.34
InsectWingbeat,linear_conv_0_8_gaussian_fpe,8,0.7217,0.7108,0.6106,1.0743,1.0773,0.6164,0.2566,200,10,22,20000,25000,5000,27,48.8
InsectWingbeat,linear_conv_1_sinc_fpe,8,0.7086,0.748,0.6332,1.0051,1.0452,0.619,0.2565,200,10,22,20000,25000,5000,29,52.6
InsectWingbeat,linear_conv_2_sinc_fpe,8,0.6972,0.7715,0.6202,1.0486,1.0638,0.6124,0.2565,200,10,22,20000,25000,5000,26,47.45
InsectWingbeat,linear_conv_5_sinc_fpe,8,0.7396,0.6708,0.6076,1.1449,1.1507,0.6006,0.2565,200,10,22,20000,25000,5000,31,55.17
InsectWingbeat,linear_no_pe,9,0.6768,0.8763,0.5838,1.1746,1.1703,0.5848,0.2553,200,10,22,20000,25000,5000,58,87.87
InsectWingbeat,linear_conv_random_pe,9,0.6935,0.7967,0.5642,1.2484,1.2632,0.5584,0.2565,200,10,22,20000,25000,5000,31,54.87
InsectWingbeat,linear_conv_learnable_random_pe,9,0.6928,0.7926,0.5848,1.1581,1.1687,0.583,0.2565,200,10,22,20000,25000,5000,25,45.72
InsectWingbeat,linear_conv_sinusoidal,9,0.661,0.8707,0.6146,1.0459,1.0609,0.6036,0.2565,200,10,22,20000,25000,5000,80,129.91
InsectWingbeat,linear_conv_learnable_sinusoidal,9,0.6784,0.8257,0.6192,1.0421,1.0589,0.6117,0.2565,200,10,22,20000,25000,5000,35,62.28
InsectWingbeat,linear_conv_0_8_gaussian_fpe,9,0.7192,0.7143,0.6346,1.0357,1.0652,0.6162,0.2566,200,10,22,20000,25000,5000,32,57.67
InsectWingbeat,linear_conv_1_sinc_fpe,9,0.7127,0.7242,0.6232,1.0514,1.0854,0.6105,0.2565,200,10,22,20000,25000,5000,26,47.77
InsectWingbeat,linear_conv_2_sinc_fpe,9,0.7254,0.7053,0.6222,1.0706,1.0949,0.6119,0.2565,200,10,22,20000,25000,5000,29,52.3
InsectWingbeat,linear_conv_5_sinc_fpe,9,0.7006,0.7646,0.6008,1.1033,1.096,0.604,0.2565,200,10,22,20000,25000,5000,24,44.17
