dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
Cricket,linear_no_pe,86,1197,12,0.9292,0.0281,10,0.0201,0.9292 ± 0.0201
DuckDuckGeese,linear_conv_0_8_gaussian_fpe,40,270,5,0.3950,0.0334,8,0.0279,0.3950 ± 0.0279
DuckDuckGeese,linear_conv_1_sinc_fpe,40,270,5,0.3320,0.0990,10,0.0708,0.3320 ± 0.0708
DuckDuckGeese,linear_conv_2_sinc_fpe,40,270,5,0.3467,0.0490,9,0.0377,0.3467 ± 0.0377
DuckDuckGeese,linear_conv_5_sinc_fpe,40,270,5,0.2644,0.0488,9,0.0375,0.2644 ± 0.0375
DuckDuckGeese,linear_conv_learnable_random_pe,40,270,5,0.3180,0.0921,10,0.0659,0.3180 ± 0.0659
DuckDuckGeese,linear_conv_learnable_sinusoidal,40,270,5,0.2600,0.0819,9,0.0629,0.2600 ± 0.0629
DuckDuckGeese,linear_conv_random_pe,40,270,5,0.2050,0.0424,8,0.0355,0.2050 ± 0.0355
DuckDuckGeese,linear_conv_sinusoidal,40,270,5,0.3460,0.0838,10,0.0600,0.3460 ± 0.0600
DuckDuckGeese,linear_no_pe,40,270,5,0.4500,0.0321,8,0.0268,0.4500 ± 0.0268
ERing,linear_conv_0_8_gaussian_fpe,24,65,6,0.8396,0.0440,10,0.0314,0.8396 ± 0.0314
ERing,linear_conv_1_sinc_fpe,24,65,6,0.8137,0.0591,10,0.0423,0.8137 ± 0.0423
ERing,linear_conv_2_sinc_fpe,24,65,6,0.8420,0.0362,9,0.0278,0.8420 ± 0.0278
ERing,linear_conv_5_sinc_fpe,24,65,6,0.8437,0.0457,10,0.0327,0.8437 ± 0.0327
ERing,linear_conv_learnable_random_pe,24,65,6,0.8564,0.0167,9,0.0128,0.8564 ± 0.0128
ERing,linear_conv_learnable_sinusoidal,24,65,6,0.8504,0.0510,10,0.0365,0.8504 ± 0.0365
