dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_original
Libras,1d_conv_additive_sinusoidal,0.0500 ± 0.0247,0.0500,0.0147,0.0247,3,5
Libras,1d_conv_circular_conv_isolated_sinusoidal,0.5833 ± 0.1079,0.5833,0.0640,0.1079,3,5
Libras,1d_conv_circular_conv_sinusoidal,0.5907 ± 0.0329,0.5907,0.0195,0.0329,3,5
Libras,1d_conv_component_wise_sinusoidal,0.2333 ± 0.4083,0.2333,0.2422,0.4083,3,5
Libras,linear_additive_isolated_sinusoidal,0.4204 ± 0.5408,0.4204,0.3208,0.5408,3,5
Libras,linear_additive_sinusoidal,0.3908 ± 0.5170,0.3908,0.3067,0.5170,3,5
Libras,linear_circular_conv_sinusoidal,0.5111 ± 0.3055,0.5111,0.2596,0.3055,4,5
Libras,linear_component_wise_sinusoidal,0.4185 ± 0.5352,0.4185,0.3175,0.5352,3,5
MotorImagery,1d_conv_additive_sinusoidal,0.5067 ± 0.0797,0.5067,0.0473,0.0797,3,5
MotorImagery,1d_conv_circular_conv_isolated_sinusoidal,0.4600 ± 0.0292,0.4600,0.0173,0.0292,3,5
MotorImagery,1d_conv_circular_conv_sinusoidal,0.5200 ± 0.1273,0.5200,0.0755,0.1273,3,5
MotorImagery,1d_conv_component_wise_sinusoidal,0.5775 ± 0.0177,0.5775,0.0150,0.0177,4,5
MotorImagery,linear_additive_isolated_sinusoidal,0.5267 ± 0.0928,0.5267,0.0551,0.0928,3,5
MotorImagery,linear_additive_sinusoidal,0.5067 ± 0.0424,0.5067,0.0252,0.0424,3,5
MotorImagery,linear_circular_conv_sinusoidal,0.5067 ± 0.0592,0.5067,0.0351,0.0592,3,5
MotorImagery,linear_component_wise_sinusoidal,0.5400 ± 0.1180,0.5400,0.0700,0.1180,3,5
NATOPS,1d_conv_additive_sinusoidal,0.1500 ± 0.0675,0.1500,0.0400,0.0675,3,5
NATOPS,1d_conv_circular_conv_isolated_sinusoidal,0.2259 ± 0.1036,0.2259,0.0614,0.1036,3,5
