dataset,train_samples,sequence_length,num_classes,linear_conv_0_8_gaussian_fpe,linear_conv_1_sinc_fpe,linear_conv_2_sinc_fpe,linear_conv_5_sinc_fpe,linear_conv_learnable_random_pe,linear_conv_learnable_sinusoidal,linear_conv_random_pe,linear_conv_sinusoidal,linear_no_pe
HandMovementDirection,128,400,4,0.4354 ± 0.0355,0.3784 ± 0.0362,0.4284 ± 0.0241,0.5856 ± 0.0243,0.4788 ± 0.0189,0.5068 ± 0.0234,0.3604 ± 0.0220,0.5108 ± 0.0451,0.2703 ± 0.0648
Handwriting,120,152,26,0.1478 ± 0.0150,0.1299 ± 0.0066,0.1482 ± 0.0185,0.1746 ± 0.0205,0.1400 ± 0.0123,0.1437 ± 0.0212,0.1036 ± 0.0217,0.1492 ± 0.0179,0.0989 ± 0.0093
Heartbeat,163,405,2,0.7421 ± 0.0093,0.7469 ± 0.0129,0.7468 ± 0.0099,0.7327 ± 0.0181,0.7220 ± 0.0000,0.7356 ± 0.0084,0.7220 ± 0.0000,0.7451 ± 0.0071,0.7327 ± 0.0150
InsectWingbeat,20000,22,10,0.6148 ± 0.0028,0.6150 ± 0.0033,0.6128 ± 0.0011,0.5985 ± 0.0028,0.5905 ± 0.0080,0.6062 ± 0.0036,0.5579 ± 0.0025,0.6034 ± 0.0044,0.5759 ± 0.0049
LSST,1967,36,14,0.6016 ± 0.0079,0.6101 ± 0.0059,0.5890 ± 0.0065,0.5444 ± 0.0108,0.5027 ± 0.0041,0.5451 ± 0.0101,0.4744 ± 0.0086,0.5438 ± 0.0097,0.5770 ± 0.0071
Libras,144,45,15,0.6735 ± 0.0168,0.6646 ± 0.0161,0.6472 ± 0.0400,0.6022 ± 0.0378,0.5944 ± 0.0221,0.6272 ± 0.0243,0.5914 ± 0.0186,0.6167 ± 0.0190,0.4321 ± 0.0341
MotorImagery,222,3000,2,0.5150 ± 0.0315,0.5120 ± 0.0380,0.5180 ± 0.0538,0.5190 ± 0.0372,0.5130 ± 0.0246,0.4960 ± 0.0440,0.5030 ± 0.0386,0.4970 ± 0.0441,0.4990 ± 0.0495
NATOPS,144,51,6,0.8815 ± 0.0201,0.8856 ± 0.0254,0.8593 ± 0.0192,0.8056 ± 0.0279,0.8184 ± 0.0303,0.8716 ± 0.0180,0.7939 ± 0.0222,0.8600 ± 0.0287,0.7118 ± 0.0115
PEMS-SF,213,144,7,0.7220 ± 0.0196,0.7098 ± 0.0151,0.7301 ± 0.0246,0.7538 ± 0.0150,0.7584 ± 0.0175,0.7468 ± 0.0333,0.7191 ± 0.0178,0.7208 ± 0.0248,0.5757 ± 0.0439
PenDigits,5995,8,10,0.9644 ± 0.0037,0.9613 ± 0.0032,0.9638 ± 0.0014,0.9607 ± 0.0022,0.9583 ± 0.0020,0.9593 ± 0.0029,0.9594 ± 0.0037,0.9405 ± 0.0040,0.7445 ± 0.0072
PhonemeSpectra,2652,217,39,0.0708 ± 0.0023,0.0712 ± 0.0024,0.0699 ± 0.0025,0.0711 ± 0.0018,0.0596 ± 0.0038,0.0684 ± 0.0019,0.0575 ± 0.0028,0.0667 ± 0.0036,0.0537 ± 0.0022
RacketSports,120,30,4,0.8513 ± 0.0137,0.8396 ± 0.0051,0.8472 ± 0.0222,0.8408 ± 0.0166,0.8092 ± 0.0208,0.8336 ± 0.0122,0.7822 ± 0.0200,0.8472 ± 0.0145,0.7980 ± 0.0250
SelfRegulationSCP1,214,896,2,0.8040 ± 0.0199,0.7867 ± 0.0225,0.8044 ± 0.0162,0.7993 ± 0.0176,0.8020 ± 0.0352,0.7966 ± 0.0171,0.7601 ± 0.0222,0.8181 ± 0.0154,0.7512 ± 0.0220
SelfRegulationSCP2,160,1152,2,0.5445 ± 0.0090,0.5494 ± 0.0084,0.5278 ± 0.0169,0.5495 ± 0.0096,0.5144 ± 0.0161,0.5417 ± 0.0157,0.4950 ± 0.0120,0.5469 ± 0.0123,0.5339 ± 0.0188
SpokenArabicDigits,5279,93,10,0.9784 ± 0.0040,0.9768 ± 0.0035,0.9823 ± 0.0031,0.9795 ± 0.0033,0.9750 ± 0.0018,0.9728 ± 0.0050,0.9702 ± 0.0054,0.9699 ± 0.0046,0.9121 ± 0.0079
StandWalkJump,9,2500,3,0.3037 ± 0.0519,0.2222 ± 0.0678,0.2800 ± 0.0667,0.2963 ± 0.0452,0.3333 ± 0.0000,0.2800 ± 0.0438,0.3333 ± 0.0000,0.3200 ± 0.0376,0.3250 ± 0.0357
UWaveGestureLibraryAll,716,945,8,0.8679 ± 0.0116,0.8331 ± 0.0190,0.8778 ± 0.0113,0.8995 ± 0.0044,0.8841 ± 0.0034,0.8934 ± 0.0060,0.8666 ± 0.0103,0.8907 ± 0.0041,0.1363 ± 0.0053
Average,1627,540,9,0.643,0.6266,0.6313,0.6556,0.6194,0.6408,0.6056,0.6338,0.561
