dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
InsectWingbeat,linear_conv_learnable_sinusoidal,8,0.8046,0.6887,1.0789,0.609,1.0911,0.6,0.2546,200,10,22,20000,25000,5000,38,174.28
InsectWingbeat,linear_no_pe,9,,,,,,0.0988,0.2532,200,10,22,20000,25000,5000,1,38.25
InsectWingbeat,linear_conv_random_pe,9,0.7564,0.7108,1.258,0.5662,1.2542,0.5607,0.2546,200,10,22,20000,25000,5000,34,159.76
InsectWingbeat,linear_conv_learnable_random_pe,9,0.7116,0.7269,1.1239,0.603,1.1511,0.5947,0.2546,200,10,22,20000,25000,5000,28,137.41
InsectWingbeat,linear_conv_sinusoidal,9,0.8676,0.6676,1.0444,0.6134,1.0727,0.6051,0.2546,200,10,22,20000,25000,5000,69,284.98
InsectWingbeat,linear_conv_learnable_sinusoidal,9,0.803,0.6861,1.0648,0.6224,1.0968,0.6021,0.2546,200,10,22,20000,25000,5000,34,161.97
InsectWingbeat,linear_no_pe,10,,,,,,0.0995,0.2532,200,10,22,20000,25000,5000,1,40.2
InsectWingbeat,linear_conv_random_pe,10,0.7816,0.6955,1.2701,0.5636,1.2607,0.5572,0.2546,200,10,22,20000,25000,5000,30,145.43
InsectWingbeat,linear_conv_learnable_random_pe,10,0.7564,0.7045,1.1528,0.5968,1.1718,0.5879,0.2546,200,10,22,20000,25000,5000,26,132.65
InsectWingbeat,linear_conv_sinusoidal,10,0.8769,0.6592,1.0628,0.6178,1.0717,0.6017,0.2546,200,10,22,20000,25000,5000,61,255.49
InsectWingbeat,linear_conv_learnable_sinusoidal,10,0.7189,0.7199,1.0863,0.6118,1.1161,0.6058,0.2546,200,10,22,20000,25000,5000,39,180.77
PenDigits,linear_no_pe,1,0.2507,0.9156,0.2108,0.9393,0.2555,0.92,0.1849,2,10,8,5995,3498,1499,100,111.15
PenDigits,linear_conv_random_pe,1,0.0376,0.9873,0.0727,0.9827,0.1553,0.958,0.1861,2,10,8,5995,3498,1499,96,113.94
PenDigits,linear_conv_learnable_random_pe,1,0.0409,0.9855,0.0773,0.9833,0.151,0.9588,0.1861,2,10,8,5995,3498,1499,71,92.52
PenDigits,linear_conv_sinusoidal,1,0.0948,0.9681,0.0963,0.974,0.1865,0.9494,0.1861,2,10,8,5995,3498,1499,82,100.9
PenDigits,linear_conv_learnable_sinusoidal,1,0.0381,0.9872,0.0691,0.984,0.1811,0.9583,0.1861,2,10,8,5995,3498,1499,100,120.69
PenDigits,linear_no_pe,2,0.3209,0.8936,0.2789,0.9233,0.36,0.8937,0.1849,2,10,8,5995,3498,1499,64,83.76
PenDigits,linear_conv_random_pe,2,0.0479,0.9823,0.0658,0.986,0.147,0.964,0.1861,2,10,8,5995,3498,1499,82,103.58
PenDigits,linear_conv_learnable_random_pe,2,0.0561,0.98,0.0773,0.98,0.1615,0.9528,0.1861,2,10,8,5995,3498,1499,57,83.58
PenDigits,linear_conv_sinusoidal,2,0.1012,0.9667,0.0997,0.9739,0.187,0.9465,0.1861,2,10,8,5995,3498,1499,70,93.22
PenDigits,linear_conv_learnable_sinusoidal,2,0.0512,0.9811,0.0764,0.9807,0.1758,0.9586,0.1861,2,10,8,5995,3498,1499,76,99.35
PenDigits,linear_no_pe,3,0.3197,0.8914,0.2493,0.9273,0.3156,0.9011,0.1849,2,10,8,5995,3498,1499,65,86.03
PenDigits,linear_conv_random_pe,3,0.0382,0.9867,0.068,0.984,0.1317,0.9654,0.1861,2,10,8,5995,3498,1499,99,113.63
