dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
SpokenArabicDigits,linear_component_wise_N_L_1,4,0.0082,0.9983,0.0416,0.9925,0.0712,0.9786,0.2142,13,10,93,5279,2199,1320,65,96.3
SpokenArabicDigits,linear_additive_N_L_1,5,0.0488,0.9882,0.0971,0.9735,0.1799,0.9404,0.213,13,10,93,5279,2199,1320,62,89.88
SpokenArabicDigits,linear_component_wise_N_L_1,5,0.014,0.9972,0.0448,0.9909,0.0532,0.985,0.2142,13,10,93,5279,2199,1320,41,73.32
SpokenArabicDigits,linear_additive_N_L_1,6,0.0286,0.993,0.0579,0.9826,0.2103,0.9455,0.213,13,10,93,5279,2199,1320,84,110.49
SpokenArabicDigits,linear_component_wise_N_L_1,6,0.0197,0.996,0.0441,0.9917,0.1178,0.9618,0.2142,13,10,93,5279,2199,1320,51,83.83
SpokenArabicDigits,linear_additive_N_L_1,7,0.0445,0.99,0.0717,0.9757,0.237,0.9259,0.213,13,10,93,5279,2199,1320,62,90.75
SpokenArabicDigits,linear_component_wise_N_L_1,7,0.0137,0.9977,0.0482,0.9902,0.0859,0.9659,0.2142,13,10,93,5279,2199,1320,52,84.67
SpokenArabicDigits,linear_additive_N_L_1,8,0.0582,0.9816,0.0983,0.9727,0.2288,0.9286,0.213,13,10,93,5279,2199,1320,55,84.47
SpokenArabicDigits,linear_component_wise_N_L_1,8,0.0039,0.9996,0.0356,0.9917,0.0596,0.9818,0.2142,13,10,93,5279,2199,1320,71,102.0
SpokenArabicDigits,linear_additive_N_L_1,9,0.0175,0.9964,0.0872,0.9758,0.2708,0.9227,0.213,13,10,93,5279,2199,1320,90,115.57
SpokenArabicDigits,linear_component_wise_N_L_1,9,0.0202,0.9966,0.0452,0.9917,0.0525,0.9796,0.2142,13,10,93,5279,2199,1320,54,87.28
SpokenArabicDigits,linear_additive_N_L_1,10,0.0454,0.9879,0.0993,0.9712,0.207,0.9318,0.213,13,10,93,5279,2199,1320,71,98.11
SpokenArabicDigits,linear_component_wise_N_L_1,10,0.0042,0.9996,0.035,0.9909,0.0788,0.9759,0.2142,13,10,93,5279,2199,1320,86,115.68
LSST,linear_additive_N_L_1,1,,0.3457,2.1624,0.3516,,0.3621,0.1945,6,14,36,1967,2466,492,14,39.68
LSST,linear_component_wise_N_L_1,1,0.9522,0.6721,1.2245,0.622,1.24,0.599,0.1957,6,14,36,1967,2466,492,70,66.03
LSST,linear_additive_N_L_1,2,,0.1591,2.2727,0.3293,,0.3273,0.1963,6,14,36,1967,2466,492,20,41.08
LSST,linear_component_wise_N_L_1,2,0.9415,0.6889,1.237,0.5955,1.249,0.5916,0.1957,6,14,36,1967,2466,492,67,62.54
LSST,linear_additive_N_L_1,3,,0.334,2.1497,0.3394,,0.3378,0.1963,6,14,36,1967,2466,492,24,44.53
LSST,linear_component_wise_N_L_1,3,1.0376,0.6426,1.2373,0.6179,1.2677,0.5807,0.1957,6,14,36,1967,2466,492,67,61.85
LSST,linear_additive_N_L_1,4,,0.4082,1.8914,0.4289,,0.4165,0.1945,6,14,36,1967,2466,492,28,45.87
LSST,linear_component_wise_N_L_1,4,0.9455,0.6751,1.2144,0.6057,1.2207,0.6082,0.1957,6,14,36,1967,2466,492,73,64.52
LSST,linear_additive_N_L_1,5,,0.3447,2.2191,0.3557,,0.3577,0.1945,6,14,36,1967,2466,492,20,41.86
LSST,linear_component_wise_N_L_1,5,0.8563,0.7067,1.2451,0.624,1.2672,0.5993,0.1957,6,14,36,1967,2466,492,79,68.26
LSST,linear_additive_N_L_1,6,,0.4072,1.86,0.439,,0.4448,0.1945,6,14,36,1967,2466,492,30,45.79
LSST,linear_component_wise_N_L_1,6,,,,,3.226,0.1127,0.1954,6,14,36,1967,2466,492,1,34.22
LSST,linear_additive_N_L_1,7,,0.0371,2.3642,0.1443,,0.1371,0.1963,6,14,36,1967,2466,492,13,38.94
LSST,linear_component_wise_N_L_1,7,0.9308,0.6798,1.2437,0.5996,1.2384,0.5977,0.1957,6,14,36,1967,2466,492,69,63.73
LSST,linear_additive_N_L_1,8,,0.3686,1.9142,0.4106,,0.3986,0.1945,6,14,36,1967,2466,492,28,45.75
LSST,linear_component_wise_N_L_1,8,1.0725,0.6375,1.2446,0.6159,1.2436,0.5782,0.1957,6,14,36,1967,2466,492,75,65.59
LSST,linear_additive_N_L_1,9,,0.0493,2.7117,0.0427,,0.0389,0.1943,6,14,36,1967,2466,492,11,38.32
LSST,linear_component_wise_N_L_1,9,,,,,3.4393,0.0937,0.1954,6,14,36,1967,2466,492,1,33.91
LSST,linear_additive_N_L_1,10,,0.3742,2.2003,0.376,,0.3784,0.1945,6,14,36,1967,2466,492,23,43.88
LSST,linear_component_wise_N_L_1,10,0.8524,0.7082,1.251,0.6118,1.2216,0.6136,0.1957,6,14,36,1967,2466,492,77,66.57
FingerMovements,linear_additive_N_L_1,1,,,,,1.1461,0.43,0.2044,28,2,50,252,100,64,1,25.32
FingerMovements,linear_component_wise_N_L_1,1,,,,,0.7914,0.43,0.2056,28,2,50,252,100,64,1,26.38
FingerMovements,linear_additive_N_L_1,2,,,,,1.1944,0.43,0.2044,28,2,50,252,100,64,1,25.38
FingerMovements,linear_component_wise_N_L_1,2,,,,,0.8386,0.37,0.2056,28,2,50,252,100,64,1,26.52
FingerMovements,linear_additive_N_L_1,3,0.7158,0.5556,0.7363,0.5781,0.7517,0.46,0.2064,28,2,50,252,100,64,16,30.97
FingerMovements,linear_component_wise_N_L_1,3,0.6648,0.6071,0.7123,0.5781,0.7,0.53,0.2075,28,2,50,252,100,64,17,32.98
FingerMovements,linear_additive_N_L_1,4,0.6869,0.5437,0.6989,0.5781,0.7109,0.51,0.2064,28,2,50,252,100,64,17,31.47
FingerMovements,linear_component_wise_N_L_1,4,0.6164,0.6667,0.767,0.5625,0.7691,0.53,0.2058,28,2,50,252,100,64,18,32.79
FingerMovements,linear_additive_N_L_1,5,0.6337,0.6865,0.7814,0.5469,0.7194,0.57,0.2064,28,2,50,252,100,64,16,31.32
FingerMovements,linear_component_wise_N_L_1,5,0.6108,0.6587,0.7652,0.5781,0.7293,0.54,0.2075,28,2,50,252,100,64,14,31.42
FingerMovements,linear_additive_N_L_1,6,,,,,0.907,0.53,0.2044,28,2,50,252,100,64,1,25.87
FingerMovements,linear_component_wise_N_L_1,6,,,,,0.9444,0.41,0.2056,28,2,50,252,100,64,1,26.12
FingerMovements,linear_additive_N_L_1,7,,,,,0.7369,0.57,0.2044,28,2,50,252,100,64,1,25.49
FingerMovements,linear_component_wise_N_L_1,7,0.5744,0.6905,0.7683,0.6094,0.7293,0.53,0.2058,28,2,50,252,100,64,15,32.08
FingerMovements,linear_additive_N_L_1,8,,,,,0.7215,0.54,0.2044,28,2,50,252,100,64,1,25.3
FingerMovements,linear_component_wise_N_L_1,8,,,,,0.9177,0.49,0.2056,28,2,50,252,100,64,1,26.5
FingerMovements,linear_additive_N_L_1,9,0.6484,0.6072,0.7422,0.5781,0.7164,0.5,0.2064,28,2,50,252,100,64,15,31.62
FingerMovements,linear_component_wise_N_L_1,9,0.625,0.6548,0.7733,0.5938,0.7642,0.49,0.2075,28,2,50,252,100,64,17,32.77
FingerMovements,linear_additive_N_L_1,10,,,,,0.7202,0.52,0.2044,28,2,50,252,100,64,1,25.39
FingerMovements,linear_component_wise_N_L_1,10,,,,,0.7079,0.55,0.2056,28,2,50,252,100,64,1,26.9
MotorImagery,linear_additive_N_L_1,1,0.6087,0.6802,0.7427,0.5714,,0.55,1.6607,64,2,3000,222,100,56,11,233.9
MotorImagery,linear_component_wise_N_L_1,1,,,,,0.718,0.54,1.6616,64,2,3000,222,100,56,1,186.35
MotorImagery,linear_additive_N_L_1,2,0.7286,0.5405,0.6727,0.625,,0.45,1.662,64,2,3000,222,100,56,13,242.27
MotorImagery,linear_component_wise_N_L_1,2,,,,,0.7012,0.46,1.6616,64,2,3000,222,100,56,1,186.6
MotorImagery,linear_additive_N_L_1,3,0.7163,0.5045,0.6697,0.625,,0.47,1.662,64,2,3000,222,100,56,16,254.12
MotorImagery,linear_component_wise_N_L_1,3,0.648,0.6396,0.7123,0.625,0.6877,0.53,1.6631,64,2,3000,222,100,56,15,242.2
MotorImagery,linear_additive_N_L_1,4,0.689,0.5405,0.6693,0.5714,,0.51,1.6605,64,2,3000,222,100,56,14,244.24
MotorImagery,linear_component_wise_N_L_1,4,0.6421,0.6261,0.7079,0.5714,0.665,0.65,1.6631,64,2,3000,222,100,56,16,244.15
MotorImagery,linear_additive_N_L_1,5,0.593,0.7252,0.7326,0.5893,,0.58,1.6605,64,2,3000,222,100,56,18,260.3
MotorImagery,linear_component_wise_N_L_1,5,0.7166,0.5315,0.6921,0.5714,0.7675,0.49,1.6631,64,2,3000,222,100,56,12,231.06
MotorImagery,linear_additive_N_L_1,6,0.6423,0.6216,0.7251,0.5893,,0.46,1.662,64,2,3000,222,100,56,11,233.51
MotorImagery,linear_component_wise_N_L_1,6,0.4266,0.8243,0.7057,0.6607,0.7285,0.52,1.6619,64,2,3000,222,100,56,12,230.95
MotorImagery,linear_additive_N_L_1,7,0.6621,0.5496,0.7078,0.6071,,0.49,1.662,64,2,3000,222,100,56,18,260.83
MotorImagery,linear_component_wise_N_L_1,7,,,,,0.7476,0.36,1.6616,64,2,3000,222,100,56,1,187.08
MotorImagery,linear_additive_N_L_1,8,0.7603,0.491,0.7256,0.6607,,0.47,1.662,64,2,3000,222,100,56,15,250.22
MotorImagery,linear_component_wise_N_L_1,8,0.4727,0.7973,0.8264,0.6071,0.7955,0.46,1.6619,64,2,3000,222,100,56,13,233.19
MotorImagery,linear_additive_N_L_1,9,,,,,,0.44,1.6605,64,2,3000,222,100,56,1,193.18
MotorImagery,linear_component_wise_N_L_1,9,0.6816,0.5676,0.7012,0.5536,0.6923,0.5,1.6631,64,2,3000,222,100,56,14,235.99
MotorImagery,linear_additive_N_L_1,10,,,,,,0.43,1.6605,64,2,3000,222,100,56,1,192.85
MotorImagery,linear_component_wise_N_L_1,10,,,,,0.6915,0.47,1.6616,64,2,3000,222,100,56,1,187.0
SelfRegulationSCP1,linear_additive_N_L_1,1,0.4257,0.8224,0.4313,0.8333,0.5748,0.7304,0.421,6,2,896,214,293,54,32,54.36
SelfRegulationSCP1,linear_component_wise_N_L_1,1,0.3627,0.8271,0.4554,0.7963,0.4373,0.8191,0.4221,6,2,896,214,293,54,20,51.62
SelfRegulationSCP1,linear_additive_N_L_1,2,0.4119,0.7944,0.3995,0.8333,0.4487,0.8055,0.421,6,2,896,214,293,54,31,54.87
SelfRegulationSCP1,linear_component_wise_N_L_1,2,0.2556,0.9018,0.3493,0.8519,0.5123,0.7884,0.4221,6,2,896,214,293,54,25,54.55
SelfRegulationSCP1,linear_additive_N_L_1,3,0.3589,0.8458,0.3546,0.8889,0.8423,0.5734,0.421,6,2,896,214,293,54,36,56.9
SelfRegulationSCP1,linear_component_wise_N_L_1,3,,,,,0.6685,0.5802,0.4219,6,2,896,214,293,54,1,36.75
SelfRegulationSCP1,linear_additive_N_L_1,4,0.3795,0.8458,0.3174,0.8889,0.5287,0.7167,0.421,6,2,896,214,293,54,29,52.79
SelfRegulationSCP1,linear_component_wise_N_L_1,4,,,,,0.679,0.4505,0.4219,6,2,896,214,293,54,1,36.03
SelfRegulationSCP1,linear_additive_N_L_1,5,0.4423,0.8271,0.4096,0.8519,0.4617,0.8054,0.4227,6,2,896,214,293,54,26,52.01
SelfRegulationSCP1,linear_component_wise_N_L_1,5,0.4093,0.8224,0.3571,0.8519,0.487,0.7611,0.4221,6,2,896,214,293,54,26,55.51
SelfRegulationSCP1,linear_additive_N_L_1,6,0.4209,0.8318,0.3786,0.8704,0.513,0.7679,0.421,6,2,896,214,293,54,25,51.33
SelfRegulationSCP1,linear_component_wise_N_L_1,6,0.3829,0.8271,0.4406,0.8333,0.4121,0.8225,0.4221,6,2,896,214,293,54,22,54.64
SelfRegulationSCP1,linear_additive_N_L_1,7,0.4246,0.8271,0.4098,0.8333,0.5355,0.7474,0.421,6,2,896,214,293,54,35,55.52
SelfRegulationSCP1,linear_component_wise_N_L_1,7,0.3488,0.8318,0.3853,0.8334,0.4893,0.7611,0.4221,6,2,896,214,293,54,24,53.99
SelfRegulationSCP1,linear_additive_N_L_1,8,0.4303,0.8178,0.3562,0.8889,0.5441,0.7543,0.421,6,2,896,214,293,54,43,59.94
SelfRegulationSCP1,linear_component_wise_N_L_1,8,,,,,0.6605,0.5871,0.4219,6,2,896,214,293,54,1,36.33
SelfRegulationSCP1,linear_additive_N_L_1,9,0.6965,0.6869,0.5245,0.8148,0.5664,0.7065,0.4227,6,2,896,214,293,54,15,46.31
SelfRegulationSCP1,linear_component_wise_N_L_1,9,0.514,0.7523,0.4749,0.8148,0.4724,0.8054,0.4234,6,2,896,214,293,54,17,48.63
SelfRegulationSCP1,linear_additive_N_L_1,10,0.4096,0.8084,0.4226,0.8704,0.5287,0.7372,0.421,6,2,896,214,293,54,26,52.64
SelfRegulationSCP1,linear_component_wise_N_L_1,10,0.4665,0.7897,0.4421,0.7778,0.3941,0.8294,0.4234,6,2,896,214,293,54,19,50.02
Heartbeat,linear_additive_N_L_1,1,,,,,,0.4293,0.3881,61,2,405,163,205,41,1,35.72
Heartbeat,linear_component_wise_N_L_1,1,,,,,0.9543,0.322,0.3892,61,2,405,163,205,41,1,36.8
Heartbeat,linear_additive_N_L_1,2,,,,,,0.322,0.3881,61,2,405,163,205,41,1,35.22
Heartbeat,linear_component_wise_N_L_1,2,0.897,0.3619,0.6164,0.7073,0.569,0.7415,0.3912,61,2,405,163,205,41,12,43.31
Heartbeat,linear_additive_N_L_1,3,,,,,,0.5464,0.3881,61,2,405,163,205,41,1,35.82
Heartbeat,linear_component_wise_N_L_1,3,,,,,0.597,0.7463,0.3892,61,2,405,163,205,41,1,36.62
Heartbeat,linear_additive_N_L_1,4,,,,,,0.4683,0.3881,61,2,405,163,205,41,1,35.42
Heartbeat,linear_component_wise_N_L_1,4,0.7576,0.3804,0.6368,0.7073,0.5962,0.7219,0.3912,61,2,405,163,205,41,12,43.6
Heartbeat,linear_additive_N_L_1,5,,,,,,0.6634,0.3881,61,2,405,163,205,41,1,35.53
Heartbeat,linear_component_wise_N_L_1,5,,,,,0.8093,0.2878,0.3892,61,2,405,163,205,41,1,36.5
Heartbeat,linear_additive_N_L_1,6,,,,,,0.5756,0.3881,61,2,405,163,205,41,1,35.59
Heartbeat,linear_component_wise_N_L_1,6,,,,,0.6775,0.6049,0.3892,61,2,405,163,205,41,1,35.7
Heartbeat,linear_additive_N_L_1,7,,,,,,0.4195,0.3881,61,2,405,163,205,41,1,35.71
Heartbeat,linear_component_wise_N_L_1,7,0.8034,0.3988,0.6128,0.7317,0.5673,0.7219,0.3912,61,2,405,163,205,41,12,43.8
Heartbeat,linear_additive_N_L_1,8,,,,,,0.6049,0.3881,61,2,405,163,205,41,1,35.47
Heartbeat,linear_component_wise_N_L_1,8,,,,,0.7098,0.522,0.3892,61,2,405,163,205,41,1,37.12
Heartbeat,linear_additive_N_L_1,9,,,,,,0.6975,0.3881,61,2,405,163,205,41,1,35.57
Heartbeat,linear_component_wise_N_L_1,9,0.3562,0.8282,0.7003,0.7073,0.5672,0.7317,0.3895,61,2,405,163,205,41,14,44.83
Heartbeat,linear_additive_N_L_1,10,,,,,,0.3902,0.3881,61,2,405,163,205,41,1,35.0
Heartbeat,linear_component_wise_N_L_1,10,,,,,0.5708,0.7366,0.3892,61,2,405,163,205,41,1,36.18
SelfRegulationSCP2,linear_additive_N_L_1,1,0.6492,0.5937,0.7581,0.625,0.7313,0.5389,0.494,7,2,1152,160,180,40,13,57.24
SelfRegulationSCP2,linear_component_wise_N_L_1,1,,,,,0.6991,0.5111,0.4949,7,2,1152,160,180,40,1,51.15
SelfRegulationSCP2,linear_additive_N_L_1,2,0.6613,0.6437,0.7414,0.625,0.7429,0.5334,0.4957,7,2,1152,160,180,40,13,58.37
SelfRegulationSCP2,linear_component_wise_N_L_1,2,,,,,0.6868,0.5667,0.4949,7,2,1152,160,180,40,1,50.25
SelfRegulationSCP2,linear_additive_N_L_1,3,0.6548,0.6312,0.7854,0.575,0.7258,0.4055,0.4937,7,2,1152,160,180,40,14,58.94
SelfRegulationSCP2,linear_component_wise_N_L_1,3,0.6989,0.4875,0.665,0.625,0.7185,0.5445,0.4968,7,2,1152,160,180,40,21,63.8
SelfRegulationSCP2,linear_additive_N_L_1,4,0.6161,0.6625,0.7067,0.625,0.6963,0.5444,0.494,7,2,1152,160,180,40,27,65.71
SelfRegulationSCP2,linear_component_wise_N_L_1,4,,,,,0.6987,0.5667,0.4949,7,2,1152,160,180,40,1,50.34
SelfRegulationSCP2,linear_additive_N_L_1,5,0.6581,0.6187,0.7111,0.6,0.7201,0.5055,0.4957,7,2,1152,160,180,40,19,59.4
SelfRegulationSCP2,linear_component_wise_N_L_1,5,0.6164,0.675,0.6441,0.675,0.7039,0.55,0.4951,7,2,1152,160,180,40,28,69.13
SelfRegulationSCP2,linear_additive_N_L_1,6,0.6657,0.575,0.8932,0.6,0.9205,0.5278,0.4957,7,2,1152,160,180,40,13,56.73
SelfRegulationSCP2,linear_component_wise_N_L_1,6,0.7665,0.575,0.6813,0.6,0.6947,0.55,0.4968,7,2,1152,160,180,40,13,59.85
SelfRegulationSCP2,linear_additive_N_L_1,7,0.9101,0.475,0.6913,0.575,0.7399,0.5389,0.4937,7,2,1152,160,180,40,13,57.55
SelfRegulationSCP2,linear_component_wise_N_L_1,7,,,,,0.8867,0.4722,0.4949,7,2,1152,160,180,40,1,51.2
SelfRegulationSCP2,linear_additive_N_L_1,8,0.8555,0.45,0.8233,0.625,0.8526,0.5389,0.4957,7,2,1152,160,180,40,14,58.96
SelfRegulationSCP2,linear_component_wise_N_L_1,8,0.7402,0.5375,0.6628,0.65,0.6954,0.5667,0.4968,7,2,1152,160,180,40,22,66.25
