dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
FaceDetection,1d_conv_component_wise_sinusoidal,0.5424 ± 0.0495,0.5424,0.0739,0.0495,8,10
FaceDetection,linear_additive_isolated_sinusoidal,0.4912 ± 0.0054,0.4912,0.0081,0.0054,8,10
FaceDetection,linear_additive_sinusoidal,0.4988 ± 0.0038,0.4988,0.0057,0.0038,8,10
FaceDetection,linear_circular_conv_sinusoidal,0.6016 ± 0.0507,0.6016,0.0757,0.0507,8,10
FaceDetection,linear_component_wise_sinusoidal,0.5003 ± 0.0064,0.5003,0.0095,0.0064,8,10
FingerMovements,1d_conv_additive_sinusoidal,0.5250 ± 0.0165,0.5250,0.0284,0.0165,10,10
FingerMovements,1d_conv_circular_conv_isolated_sinusoidal,0.4788 ± 0.0269,0.4788,0.0402,0.0269,8,10
FingerMovements,1d_conv_circular_conv_sinusoidal,0.4638 ± 0.0071,0.4638,0.0106,0.0071,8,10
FingerMovements,1d_conv_component_wise_sinusoidal,0.5262 ± 0.0293,0.5262,0.0437,0.0293,8,10
FingerMovements,linear_additive_isolated_sinusoidal,0.5362 ± 0.0226,0.5362,0.0338,0.0226,8,10
FingerMovements,linear_additive_sinusoidal,0.5060 ± 0.0298,0.5060,0.0515,0.0298,10,10
FingerMovements,linear_circular_conv_sinusoidal,0.4725 ± 0.0242,0.4725,0.0362,0.0242,8,10
FingerMovements,linear_component_wise_sinusoidal,0.4938 ± 0.0332,0.4938,0.0496,0.0332,8,10
HandMovementDirection,1d_conv_additive_sinusoidal,0.2778 ± 0.0291,0.2778,0.0469,0.0291,9,10
HandMovementDirection,1d_conv_circular_conv_isolated_sinusoidal,0.5102 ± 0.0327,0.5102,0.0489,0.0327,8,10
HandMovementDirection,1d_conv_circular_conv_sinusoidal,0.4820 ± 0.0296,0.4820,0.0478,0.0296,9,10
HandMovementDirection,1d_conv_component_wise_sinusoidal,0.4490 ± 0.0516,0.4490,0.0832,0.0516,9,10
HandMovementDirection,linear_additive_isolated_sinusoidal,0.2585 ± 0.0280,0.2585,0.0418,0.0280,8,10
HandMovementDirection,linear_additive_sinusoidal,0.2770 ± 0.0365,0.2770,0.0545,0.0365,8,10
HandMovementDirection,linear_circular_conv_sinusoidal,0.4645 ± 0.0362,0.4645,0.0540,0.0362,8,10
HandMovementDirection,linear_component_wise_sinusoidal,0.4155 ± 0.0432,0.4155,0.0645,0.0432,8,10
Handwriting,1d_conv_additive_sinusoidal,0.0529 ± 0.0276,0.0529,0.0412,0.0276,8,10
Handwriting,1d_conv_circular_conv_isolated_sinusoidal,0.1562 ± 0.0175,0.1562,0.0262,0.0175,8,10
Handwriting,1d_conv_circular_conv_sinusoidal,0.1262 ± 0.0225,0.1262,0.0336,0.0225,8,10
Handwriting,1d_conv_component_wise_sinusoidal,0.1284 ± 0.0282,0.1284,0.0420,0.0282,8,10
Handwriting,linear_additive_isolated_sinusoidal,0.1319 ± 0.0378,0.1319,0.0564,0.0378,8,10
Handwriting,linear_additive_sinusoidal,0.0672 ± 0.0255,0.0672,0.0380,0.0255,8,10
Handwriting,linear_circular_conv_sinusoidal,0.1433 ± 0.0277,0.1433,0.0448,0.0277,9,10
Handwriting,linear_component_wise_sinusoidal,0.1064 ± 0.0353,0.1064,0.0527,0.0353,8,10
Heartbeat,1d_conv_additive_sinusoidal,0.4939 ± 0.0645,0.4939,0.0964,0.0645,8,10
Heartbeat,1d_conv_circular_conv_isolated_sinusoidal,0.7268 ± 0.0092,0.7268,0.0138,0.0092,8,10
Heartbeat,1d_conv_circular_conv_sinusoidal,0.7336 ± 0.0063,0.7336,0.0094,0.0063,8,10
Heartbeat,1d_conv_component_wise_sinusoidal,0.4866 ± 0.1204,0.4866,0.1798,0.1204,8,10
Heartbeat,linear_additive_isolated_sinusoidal,0.5043 ± 0.0796,0.5043,0.1188,0.0796,8,10
Heartbeat,linear_additive_sinusoidal,0.5122 ± 0.0665,0.5122,0.0992,0.0665,8,10
Heartbeat,linear_circular_conv_sinusoidal,0.7390 ± 0.0060,0.7390,0.0090,0.0060,8,10
Heartbeat,linear_component_wise_sinusoidal,0.6378 ± 0.1005,0.6378,0.1501,0.1005,8,10
InsectWingbeat,1d_conv_additive_sinusoidal,0.0999 ± 0.0014,0.0999,0.0021,0.0014,8,10
InsectWingbeat,1d_conv_circular_conv_isolated_sinusoidal,0.5571 ± 0.0018,0.5571,0.0027,0.0018,8,10
InsectWingbeat,1d_conv_circular_conv_sinusoidal,0.5714 ± 0.0019,0.5714,0.0028,0.0019,8,10
InsectWingbeat,1d_conv_component_wise_sinusoidal,0.5880 ± 0.0026,0.5880,0.0038,0.0026,8,10
InsectWingbeat,linear_additive_isolated_sinusoidal,0.0992 ± 0.0032,0.0992,0.0047,0.0032,8,10
InsectWingbeat,linear_additive_sinusoidal,0.0993 ± 0.0023,0.0993,0.0034,0.0023,8,10
InsectWingbeat,linear_circular_conv_sinusoidal,0.6040 ± 0.0027,0.6040,0.0040,0.0027,8,10
InsectWingbeat,linear_component_wise_sinusoidal,0.6139 ± 0.0026,0.6139,0.0039,0.0026,8,10
LSST,1d_conv_additive_sinusoidal,0.0417 ± 0.0120,0.0417,0.0179,0.0120,8,10
LSST,1d_conv_circular_conv_isolated_sinusoidal,0.5564 ± 0.0076,0.5564,0.0114,0.0076,8,10
LSST,1d_conv_circular_conv_sinusoidal,0.5591 ± 0.0099,0.5591,0.0147,0.0099,8,10
LSST,1d_conv_component_wise_sinusoidal,0.5548 ± 0.1130,0.5548,0.1688,0.1130,8,10
LSST,linear_additive_isolated_sinusoidal,0.4128 ± 0.0156,0.4128,0.0232,0.0156,8,10
LSST,linear_additive_sinusoidal,0.3394 ± 0.0582,0.3394,0.0869,0.0582,8,10
LSST,linear_circular_conv_sinusoidal,0.5420 ± 0.0066,0.5420,0.0098,0.0066,8,10
LSST,linear_component_wise_sinusoidal,0.5334 ± 0.1141,0.5334,0.1703,0.1141,8,10
Libras,1d_conv_additive_sinusoidal,0.2382 ± 0.2066,0.2382,0.3084,0.2066,8,10
Libras,1d_conv_circular_conv_isolated_sinusoidal,0.6285 ± 0.0134,0.6285,0.0200,0.0134,8,10
Libras,1d_conv_circular_conv_sinusoidal,0.6410 ± 0.0264,0.6410,0.0394,0.0264,8,10
Libras,1d_conv_component_wise_sinusoidal,0.6479 ± 0.0184,0.6479,0.0275,0.0184,8,10
Libras,linear_additive_isolated_sinusoidal,0.7250 ± 0.0170,0.7250,0.0253,0.0170,8,10
Libras,linear_additive_sinusoidal,0.7180 ± 0.0086,0.7180,0.0129,0.0086,8,10
Libras,linear_circular_conv_sinusoidal,0.6410 ± 0.0197,0.6410,0.0294,0.0197,8,10
Libras,linear_component_wise_sinusoidal,0.6548 ± 0.0219,0.6548,0.0327,0.0219,8,10
MotorImagery,1d_conv_additive_sinusoidal,0.5088 ± 0.0204,0.5088,0.0304,0.0204,8,10
MotorImagery,1d_conv_circular_conv_isolated_sinusoidal,0.5388 ± 0.0331,0.5388,0.0494,0.0331,8,10
MotorImagery,1d_conv_circular_conv_sinusoidal,0.5211 ± 0.0395,0.5211,0.0637,0.0395,9,10
MotorImagery,1d_conv_component_wise_sinusoidal,0.5311 ± 0.0271,0.5311,0.0437,0.0271,9,10
MotorImagery,linear_additive_isolated_sinusoidal,0.4912 ± 0.0162,0.4912,0.0242,0.0162,8,10
MotorImagery,linear_additive_sinusoidal,0.4800 ± 0.0240,0.4800,0.0359,0.0240,8,10
