dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
InsectWingbeat,1d_conv_additive_sinusoidal,9,0.0968,,0.1024,,,0.0988,0.3518,200,10,22,20000,25000,5000,2,3.34
InsectWingbeat,linear_circular_conv_sinusoidal,9,0.6667,0.8676,0.6156,1.0241,1.0391,0.6093,0.2565,200,10,22,20000,25000,5000,73,40.78
InsectWingbeat,1d_conv_circular_conv_sinusoidal,9,0.6661,0.8452,0.584,1.1576,1.1695,0.5691,0.3532,200,10,22,20000,25000,5000,43,28.19
InsectWingbeat,linear_additive_sinusoidal,10,0.6854,0.8505,0.5878,1.1739,1.1979,0.58,0.2553,200,10,22,20000,25000,5000,70,36.01
InsectWingbeat,1d_conv_additive_sinusoidal,10,0.0897,,0.0912,,,0.0877,0.3518,200,10,22,20000,25000,5000,2,3.31
InsectWingbeat,linear_circular_conv_sinusoidal,10,0.6467,0.9256,0.6064,1.0464,1.065,0.6006,0.2565,200,10,22,20000,25000,5000,66,37.49
InsectWingbeat,1d_conv_circular_conv_sinusoidal,10,0.6613,0.8482,0.5696,1.1844,1.208,0.5619,0.3532,200,10,22,20000,25000,5000,29,20.32
PenDigits,linear_additive_sinusoidal,1,0.7806,0.6494,0.8652,0.4353,0.4925,0.8468,0.1868,2,10,8,5995,3498,1499,98,18.52
PenDigits,1d_conv_additive_sinusoidal,1,0.9783,0.0647,0.9887,0.0607,0.0854,0.9723,0.1868,2,10,8,5995,3498,1499,53,11.5
PenDigits,linear_circular_conv_sinusoidal,1,0.9635,0.1072,0.97,0.1016,0.221,0.942,0.188,2,10,8,5995,3498,1499,82,16.69
PenDigits,1d_conv_circular_conv_sinusoidal,1,0.99,0.0392,0.992,0.0565,0.0791,0.9803,0.188,2,10,8,5995,3498,1499,54,11.95
PenDigits,linear_additive_sinusoidal,2,0.7868,0.6147,0.8439,0.4811,0.5798,0.8053,0.1868,2,10,8,5995,3498,1499,85,16.19
PenDigits,1d_conv_additive_sinusoidal,2,0.9798,0.0617,0.9874,0.0603,0.0598,0.982,0.1868,2,10,8,5995,3498,1499,61,13.04
PenDigits,linear_circular_conv_sinusoidal,2,0.9661,0.0912,0.9727,0.0955,0.1948,0.9391,0.188,2,10,8,5995,3498,1499,96,18.49
PenDigits,1d_conv_circular_conv_sinusoidal,2,0.9928,0.0231,0.9927,0.048,0.0762,0.9834,0.188,2,10,8,5995,3498,1499,63,13.46
PenDigits,linear_additive_sinusoidal,3,0.8045,0.5703,0.8679,0.4157,0.5176,0.8322,0.1868,2,10,8,5995,3498,1499,100,18.48
PenDigits,1d_conv_additive_sinusoidal,3,0.9857,0.0502,0.99,0.0572,0.0712,0.9786,0.1868,2,10,8,5995,3498,1499,68,13.78
PenDigits,linear_circular_conv_sinusoidal,3,0.9615,0.1108,0.968,0.1174,0.2204,0.9348,0.188,2,10,8,5995,3498,1499,76,15.99
PenDigits,1d_conv_circular_conv_sinusoidal,3,0.99,0.0337,0.9913,0.0558,0.0921,0.9774,0.188,2,10,8,5995,3498,1499,67,14.0
PenDigits,linear_additive_sinusoidal,4,0.843,0.4652,0.8926,0.3557,0.4138,0.8556,0.1868,2,10,8,5995,3498,1499,78,15.61
PenDigits,1d_conv_additive_sinusoidal,4,0.9841,0.0522,0.9893,0.0668,0.0741,0.9751,0.1868,2,10,8,5995,3498,1499,54,11.82
PenDigits,linear_circular_conv_sinusoidal,4,0.9713,0.0889,0.976,0.1072,0.1697,0.9531,0.188,2,10,8,5995,3498,1499,97,18.84
PenDigits,1d_conv_circular_conv_sinusoidal,4,0.9945,0.0187,0.9947,0.0467,0.0705,0.9831,0.188,2,10,8,5995,3498,1499,79,16.08
PenDigits,linear_additive_sinusoidal,5,0.8232,0.521,0.8879,0.3508,0.4176,0.8588,0.1868,2,10,8,5995,3498,1499,100,18.45
PenDigits,1d_conv_additive_sinusoidal,5,0.9803,0.0691,0.988,0.0672,0.0807,0.9754,0.1868,2,10,8,5995,3498,1499,55,11.95
PenDigits,linear_circular_conv_sinusoidal,5,0.961,0.1126,0.9673,0.1122,0.1859,0.9463,0.188,2,10,8,5995,3498,1499,68,13.89
PenDigits,1d_conv_circular_conv_sinusoidal,5,0.9935,0.0204,0.9913,0.0469,0.0668,0.9826,0.188,2,10,8,5995,3498,1499,68,14.16
PenDigits,linear_additive_sinusoidal,6,0.8272,0.5019,0.9006,0.3142,0.4256,0.8719,0.1868,2,10,8,5995,3498,1499,100,18.71
PenDigits,1d_conv_additive_sinusoidal,6,0.9792,0.069,0.99,0.0617,0.0685,0.9777,0.1868,2,10,8,5995,3498,1499,70,13.81
PenDigits,linear_circular_conv_sinusoidal,6,0.963,0.1039,0.972,0.1061,0.2006,0.9474,0.188,2,10,8,5995,3498,1499,72,14.6
PenDigits,1d_conv_circular_conv_sinusoidal,6,0.9953,0.0165,0.9953,0.0429,0.0706,0.9834,0.188,2,10,8,5995,3498,1499,100,19.14
PenDigits,linear_additive_sinusoidal,7,0.8017,0.5739,0.8786,0.3963,0.4387,0.8585,0.1868,2,10,8,5995,3498,1499,100,18.37
PenDigits,1d_conv_additive_sinusoidal,7,0.9848,0.0459,0.992,0.0579,0.0745,0.9774,0.1868,2,10,8,5995,3498,1499,77,15.65
PenDigits,linear_circular_conv_sinusoidal,7,0.9581,0.1211,0.9693,0.1187,0.1757,0.9474,0.188,2,10,8,5995,3498,1499,54,12.22
PenDigits,1d_conv_circular_conv_sinusoidal,7,0.9932,0.0316,0.9934,0.0517,0.0923,0.9763,0.188,2,10,8,5995,3498,1499,65,13.7
PenDigits,linear_additive_sinusoidal,8,0.8525,0.4183,0.9079,0.3046,0.3955,0.8728,0.1868,2,10,8,5995,3498,1499,100,18.44
PenDigits,1d_conv_additive_sinusoidal,8,0.9893,0.0349,0.992,0.0508,0.0639,0.9794,0.1868,2,10,8,5995,3498,1499,74,14.26
PenDigits,linear_circular_conv_sinusoidal,8,0.963,0.1155,0.9733,0.1057,0.1854,0.9442,0.188,2,10,8,5995,3498,1499,68,14.32
PenDigits,1d_conv_circular_conv_sinusoidal,8,0.9938,0.0199,0.994,0.0468,0.0782,0.9809,0.188,2,10,8,5995,3498,1499,72,14.46
PenDigits,linear_additive_sinusoidal,9,0.8005,0.581,0.8599,0.4574,0.5313,0.8365,0.1868,2,10,8,5995,3498,1499,100,18.61
PenDigits,1d_conv_additive_sinusoidal,9,0.9862,0.0473,0.9906,0.0699,0.067,0.9808,0.1868,2,10,8,5995,3498,1499,68,13.79
PenDigits,linear_circular_conv_sinusoidal,9,0.959,0.123,0.9693,0.1093,0.1921,0.9454,0.188,2,10,8,5995,3498,1499,84,17.08
PenDigits,1d_conv_circular_conv_sinusoidal,9,0.994,0.0278,0.994,0.0523,0.0824,0.9817,0.188,2,10,8,5995,3498,1499,57,12.64
PenDigits,linear_additive_sinusoidal,10,0.8604,0.4013,0.9173,0.2578,0.3086,0.8959,0.1868,2,10,8,5995,3498,1499,100,18.59
PenDigits,1d_conv_additive_sinusoidal,10,0.984,0.0549,0.9874,0.0611,0.0808,0.974,0.1868,2,10,8,5995,3498,1499,53,11.69
PenDigits,linear_circular_conv_sinusoidal,10,0.9673,0.0896,0.976,0.0902,0.1796,0.9508,0.188,2,10,8,5995,3498,1499,100,19.03
PenDigits,1d_conv_circular_conv_sinusoidal,10,0.9917,0.0354,0.992,0.0545,0.096,0.9794,0.188,2,10,8,5995,3498,1499,38,9.35
SpokenArabicDigits,linear_additive_sinusoidal,1,0.9939,0.0306,0.9674,0.136,0.2859,0.9263,0.2149,13,10,93,5279,2199,1320,100,24.93
SpokenArabicDigits,1d_conv_additive_sinusoidal,1,0.9903,0.0378,0.9705,0.1094,0.2545,0.9186,0.2202,13,10,93,5279,2199,1320,76,20.45
SpokenArabicDigits,linear_circular_conv_sinusoidal,1,0.9826,0.0592,0.9803,0.0766,0.133,0.9536,0.2161,13,10,93,5279,2199,1320,49,16.22
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,1,0.9968,0.0136,0.9887,0.0413,0.1188,0.9673,0.2214,13,10,93,5279,2199,1320,88,25.42
SpokenArabicDigits,linear_additive_sinusoidal,2,0.9926,0.0352,0.9477,0.1715,0.3735,0.8981,0.2149,13,10,93,5279,2199,1320,94,23.6
SpokenArabicDigits,1d_conv_additive_sinusoidal,2,0.9871,0.0512,0.969,0.1202,0.2397,0.9272,0.2202,13,10,93,5279,2199,1320,68,18.63
SpokenArabicDigits,linear_circular_conv_sinusoidal,2,0.9962,0.0153,0.9894,0.0482,0.0933,0.9731,0.2161,13,10,93,5279,2199,1320,71,21.45
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,2,0.996,0.0169,0.9894,0.0411,0.1023,0.965,0.2214,13,10,93,5279,2199,1320,67,20.21
SpokenArabicDigits,linear_additive_sinusoidal,3,0.9835,0.056,0.9523,0.1404,0.2935,0.9054,0.2149,13,10,93,5279,2199,1320,87,22.28
SpokenArabicDigits,1d_conv_additive_sinusoidal,3,0.9907,0.0359,0.9614,0.139,0.2678,0.9186,0.2202,13,10,93,5279,2199,1320,84,21.81
SpokenArabicDigits,linear_circular_conv_sinusoidal,3,0.9964,0.0136,0.9894,0.0429,0.1113,0.965,0.2161,13,10,93,5279,2199,1320,77,23.22
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,3,0.9918,0.0291,0.9849,0.0531,0.1186,0.9673,0.2214,13,10,93,5279,2199,1320,48,15.83
SpokenArabicDigits,linear_additive_sinusoidal,4,0.9849,0.0544,0.953,0.1607,0.2706,0.9195,0.2149,13,10,93,5279,2199,1320,69,18.49
SpokenArabicDigits,1d_conv_additive_sinusoidal,4,0.9919,0.0314,0.9727,0.0969,0.2284,0.9322,0.2202,13,10,93,5279,2199,1320,76,20.47
SpokenArabicDigits,linear_circular_conv_sinusoidal,4,0.9962,0.0178,0.9932,0.0346,0.0825,0.9704,0.2161,13,10,93,5279,2199,1320,71,21.42
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,4,0.9983,0.0083,0.9894,0.0441,0.1386,0.9636,0.2214,13,10,93,5279,2199,1320,100,27.96
SpokenArabicDigits,linear_additive_sinusoidal,5,0.9839,0.0576,0.956,0.1374,0.2134,0.935,0.2149,13,10,93,5279,2199,1320,82,21.05
SpokenArabicDigits,1d_conv_additive_sinusoidal,5,0.99,0.0334,0.9697,0.0994,0.2553,0.9286,0.2202,13,10,93,5279,2199,1320,98,24.83
SpokenArabicDigits,linear_circular_conv_sinusoidal,5,0.9975,0.0121,0.9894,0.0392,0.1176,0.9677,0.2161,13,10,93,5279,2199,1320,84,25.02
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,5,0.99,0.0443,0.9833,0.0551,0.1333,0.9518,0.2214,13,10,93,5279,2199,1320,46,14.85
SpokenArabicDigits,linear_additive_sinusoidal,6,0.9759,0.0828,0.9447,0.1692,0.2686,0.9154,0.2149,13,10,93,5279,2199,1320,47,13.87
SpokenArabicDigits,1d_conv_additive_sinusoidal,6,0.9905,0.0412,0.9712,0.1173,0.2545,0.92,0.2202,13,10,93,5279,2199,1320,71,18.74
SpokenArabicDigits,linear_circular_conv_sinusoidal,6,0.9911,0.0395,0.9826,0.057,0.0981,0.9705,0.2161,13,10,93,5279,2199,1320,52,17.24
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,6,0.9977,0.0115,0.9917,0.0405,0.1477,0.9572,0.2214,13,10,93,5279,2199,1320,84,24.88
SpokenArabicDigits,linear_additive_sinusoidal,7,0.9896,0.0447,0.9667,0.1105,0.2572,0.9177,0.2149,13,10,93,5279,2199,1320,79,20.82
SpokenArabicDigits,1d_conv_additive_sinusoidal,7,0.9922,0.0355,0.9742,0.0781,0.1903,0.945,0.2202,13,10,93,5279,2199,1320,88,22.75
SpokenArabicDigits,linear_circular_conv_sinusoidal,7,0.9932,0.0265,0.9863,0.0595,0.0828,0.9723,0.2161,13,10,93,5279,2199,1320,54,17.61
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,7,0.9786,0.0673,0.9811,0.0598,0.0985,0.9649,0.2214,13,10,93,5279,2199,1320,42,14.23
SpokenArabicDigits,linear_additive_sinusoidal,8,0.9771,0.0712,0.9523,0.1566,0.2425,0.9263,0.2149,13,10,93,5279,2199,1320,80,20.87
SpokenArabicDigits,1d_conv_additive_sinusoidal,8,0.9896,0.0364,0.9712,0.1077,0.2839,0.9218,0.2202,13,10,93,5279,2199,1320,86,22.45
SpokenArabicDigits,linear_circular_conv_sinusoidal,8,0.9962,0.0156,0.9886,0.0416,0.0862,0.9718,0.2161,13,10,93,5279,2199,1320,80,23.88
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,8,0.9957,0.0178,0.9909,0.0369,0.0999,0.9668,0.2214,13,10,93,5279,2199,1320,65,19.46
SpokenArabicDigits,linear_additive_sinusoidal,9,0.9905,0.0375,0.9568,0.134,0.2922,0.9159,0.2149,13,10,93,5279,2199,1320,97,24.16
SpokenArabicDigits,1d_conv_additive_sinusoidal,9,0.9871,0.043,0.9659,0.1219,0.2067,0.9286,0.2202,13,10,93,5279,2199,1320,79,20.99
