dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
FaceDetection,linear_conv_random_pe,0.6032 ± 0.0418,0.6032,0.0625,0.0418,8,10
FaceDetection,linear_conv_sinusoidal,0.6016 ± 0.0507,0.6016,0.0757,0.0507,8,10
FaceDetection,linear_no_pe,0.4948 ± 0.0026,0.4948,0.0039,0.0026,8,10
FingerMovements,linear_conv_0_8_gaussian_fpe,0.5088 ± 0.0300,0.5088,0.0449,0.0300,8,10
FingerMovements,linear_conv_1_sinc_fpe,0.5100 ± 0.0243,0.5100,0.0363,0.0243,8,10
FingerMovements,linear_conv_2_sinc_fpe,0.4950 ± 0.0261,0.4950,0.0389,0.0261,8,10
FingerMovements,linear_conv_5_sinc_fpe,0.5000 ± 0.0095,0.5000,0.0141,0.0095,8,10
FingerMovements,linear_conv_learnable_random_pe,0.4889 ± 0.0118,0.4889,0.0190,0.0118,9,10
FingerMovements,linear_conv_learnable_sinusoidal,0.5000 ± 0.0199,0.5000,0.0298,0.0199,8,10
FingerMovements,linear_conv_random_pe,0.5038 ± 0.0138,0.5038,0.0207,0.0138,8,10
FingerMovements,linear_conv_sinusoidal,0.4725 ± 0.0242,0.4725,0.0362,0.0242,8,10
FingerMovements,linear_no_pe,0.5188 ± 0.0249,0.5188,0.0372,0.0249,8,10
HandMovementDirection,linear_conv_0_8_gaussian_fpe,0.4071 ± 0.0196,0.4071,0.0293,0.0196,8,10
HandMovementDirection,linear_conv_1_sinc_fpe,0.4000 ± 0.0289,0.4000,0.0498,0.0289,10,10
HandMovementDirection,linear_conv_2_sinc_fpe,0.4409 ± 0.0174,0.4409,0.0260,0.0174,8,10
HandMovementDirection,linear_conv_5_sinc_fpe,0.5886 ± 0.0214,0.5886,0.0345,0.0214,9,10
HandMovementDirection,linear_conv_learnable_random_pe,0.5034 ± 0.0424,0.5034,0.0633,0.0424,8,10
HandMovementDirection,linear_conv_learnable_sinusoidal,0.4949 ± 0.0368,0.4949,0.0550,0.0368,8,10
HandMovementDirection,linear_conv_random_pe,0.3615 ± 0.0264,0.3615,0.0394,0.0264,8,10
HandMovementDirection,linear_conv_sinusoidal,0.4645 ± 0.0362,0.4645,0.0540,0.0362,8,10
HandMovementDirection,linear_no_pe,0.2804 ± 0.0374,0.2804,0.0558,0.0374,8,10
Handwriting,linear_conv_0_8_gaussian_fpe,0.1434 ± 0.0113,0.1434,0.0169,0.0113,8,10
Handwriting,linear_conv_1_sinc_fpe,0.1381 ± 0.0105,0.1381,0.0157,0.0105,8,10
Handwriting,linear_conv_2_sinc_fpe,0.1441 ± 0.0143,0.1441,0.0214,0.0143,8,10
Handwriting,linear_conv_5_sinc_fpe,0.1701 ± 0.0112,0.1701,0.0167,0.0112,8,10
Handwriting,linear_conv_learnable_random_pe,0.1135 ± 0.0305,0.1135,0.0456,0.0305,8,10
Handwriting,linear_conv_learnable_sinusoidal,0.1556 ± 0.0097,0.1556,0.0145,0.0097,8,10
Handwriting,linear_conv_random_pe,0.0837 ± 0.0220,0.0837,0.0328,0.0220,8,10
Handwriting,linear_conv_sinusoidal,0.1433 ± 0.0277,0.1433,0.0448,0.0277,9,10
Handwriting,linear_no_pe,0.0868 ± 0.0356,0.0868,0.0574,0.0356,9,10
Heartbeat,linear_conv_0_8_gaussian_fpe,0.7396 ± 0.0070,0.7396,0.0104,0.0070,8,10
Heartbeat,linear_conv_1_sinc_fpe,0.7457 ± 0.0071,0.7457,0.0106,0.0071,8,10
Heartbeat,linear_conv_2_sinc_fpe,0.6982 ± 0.0580,0.6982,0.0866,0.0580,8,10
Heartbeat,linear_conv_5_sinc_fpe,0.7469 ± 0.0084,0.7469,0.0135,0.0084,9,10
Heartbeat,linear_conv_learnable_random_pe,0.6708 ± 0.0588,0.6708,0.0878,0.0588,8,10
Heartbeat,linear_conv_learnable_sinusoidal,0.7244 ± 0.0147,0.7244,0.0220,0.0147,8,10
Heartbeat,linear_conv_random_pe,0.7035 ± 0.0320,0.7035,0.0517,0.0320,9,10
Heartbeat,linear_conv_sinusoidal,0.7390 ± 0.0060,0.7390,0.0090,0.0060,8,10
Heartbeat,linear_no_pe,0.5220 ± 0.0574,0.5220,0.0857,0.0574,8,10
InsectWingbeat,linear_conv_0_8_gaussian_fpe,0.6127 ± 0.0024,0.6127,0.0035,0.0024,8,10
InsectWingbeat,linear_conv_1_sinc_fpe,0.6166 ± 0.0024,0.6166,0.0036,0.0024,8,10
InsectWingbeat,linear_conv_2_sinc_fpe,0.6161 ± 0.0020,0.6161,0.0030,0.0020,8,10
InsectWingbeat,linear_conv_5_sinc_fpe,0.5974 ± 0.0032,0.5974,0.0047,0.0032,8,10
InsectWingbeat,linear_conv_learnable_random_pe,0.5918 ± 0.0049,0.5918,0.0072,0.0049,8,10
InsectWingbeat,linear_conv_learnable_sinusoidal,0.6044 ± 0.0016,0.6044,0.0024,0.0016,8,10
InsectWingbeat,linear_conv_random_pe,0.5570 ± 0.0018,0.5570,0.0027,0.0018,8,10
InsectWingbeat,linear_conv_sinusoidal,0.6040 ± 0.0027,0.6040,0.0040,0.0027,8,10
InsectWingbeat,linear_no_pe,0.0970 ± 0.0025,0.0970,0.0037,0.0025,8,10
LSST,linear_conv_0_8_gaussian_fpe,0.5893 ± 0.0040,0.5893,0.0060,0.0040,8,10
LSST,linear_conv_1_sinc_fpe,0.6021 ± 0.0039,0.6021,0.0058,0.0039,8,10
LSST,linear_conv_2_sinc_fpe,0.5810 ± 0.0083,0.5810,0.0124,0.0083,8,10
LSST,linear_conv_5_sinc_fpe,0.5427 ± 0.0086,0.5427,0.0128,0.0086,8,10
LSST,linear_conv_learnable_random_pe,0.4887 ± 0.0083,0.4887,0.0124,0.0083,8,10
LSST,linear_conv_learnable_sinusoidal,0.5468 ± 0.0068,0.5468,0.0102,0.0068,8,10
LSST,linear_conv_random_pe,0.4832 ± 0.0035,0.4832,0.0052,0.0035,8,10
LSST,linear_conv_sinusoidal,0.5420 ± 0.0066,0.5420,0.0098,0.0066,8,10
LSST,linear_no_pe,0.3676 ± 0.0348,0.3676,0.0519,0.0348,8,10
Libras,linear_conv_0_8_gaussian_fpe,0.6708 ± 0.0210,0.6708,0.0314,0.0210,8,10
Libras,linear_conv_1_sinc_fpe,0.6944 ± 0.0148,0.6944,0.0220,0.0148,8,10
Libras,linear_conv_2_sinc_fpe,0.6809 ± 0.0111,0.6809,0.0178,0.0111,9,10
Libras,linear_conv_5_sinc_fpe,0.6438 ± 0.0161,0.6438,0.0240,0.0161,8,10
Libras,linear_conv_learnable_random_pe,0.6111 ± 0.0133,0.6111,0.0199,0.0133,8,10
Libras,linear_conv_learnable_sinusoidal,0.6271 ± 0.0212,0.6271,0.0316,0.0212,8,10
Libras,linear_conv_random_pe,0.5951 ± 0.0106,0.5951,0.0158,0.0106,8,10
Libras,linear_conv_sinusoidal,0.6410 ± 0.0197,0.6410,0.0294,0.0197,8,10
Libras,linear_no_pe,0.6292 ± 0.0112,0.6292,0.0168,0.0112,8,10
MotorImagery,linear_conv_0_8_gaussian_fpe,0.5125 ± 0.0250,0.5125,0.0373,0.0250,8,10
