dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
EthanolConcentration,linear_additive_sinusoidal,208,1751,4,0.2323,0.0227,10,0.0162,0.2323 ± 0.0162
EthanolConcentration,linear_additive_split_sinusoidal,208,1751,4,0.2353,0.0113,9,0.0087,0.2353 ± 0.0087
EthanolConcentration,linear_circular_conv_sinusoidal,208,1751,4,0.2723,0.0072,10,0.0052,0.2723 ± 0.0052
EthanolConcentration,linear_component_wise_sinusoidal,208,1751,4,0.2578,0.0170,10,0.0122,0.2578 ± 0.0122
FaceDetection,1d_conv_additive_sinusoidal,4712,62,2,0.4967,0.0068,8,0.0057,0.4967 ± 0.0057
FaceDetection,1d_conv_circular_conv_sinusoidal,4712,62,2,0.6629,0.0052,10,0.0037,0.6629 ± 0.0037
FaceDetection,1d_conv_circular_conv_split_sinusoidal,4712,62,2,0.6659,0.0073,10,0.0052,0.6659 ± 0.0052
FaceDetection,1d_conv_component_wise_sinusoidal,4712,62,2,0.6664,0.0079,10,0.0056,0.6664 ± 0.0056
FaceDetection,linear_additive_sinusoidal,4712,62,2,0.5291,0.0050,9,0.0038,0.5291 ± 0.0038
FaceDetection,linear_additive_split_sinusoidal,4712,62,2,0.5298,0.0070,10,0.0050,0.5298 ± 0.0050
FaceDetection,linear_circular_conv_sinusoidal,4712,62,2,0.6566,0.0042,8,0.0035,0.6566 ± 0.0035
FaceDetection,linear_component_wise_sinusoidal,4712,62,2,0.6576,0.0060,10,0.0043,0.6576 ± 0.0043
FingerMovements,1d_conv_additive_sinusoidal,252,50,2,0.5110,0.0338,10,0.0242,0.5110 ± 0.0242
FingerMovements,1d_conv_circular_conv_sinusoidal,252,50,2,0.4990,0.0378,10,0.0271,0.4990 ± 0.0271
FingerMovements,1d_conv_circular_conv_split_sinusoidal,252,50,2,0.4790,0.0543,10,0.0388,0.4790 ± 0.0388
FingerMovements,1d_conv_component_wise_sinusoidal,252,50,2,0.4720,0.0391,10,0.0280,0.4720 ± 0.0280
FingerMovements,linear_additive_sinusoidal,252,50,2,0.4667,0.0415,9,0.0319,0.4667 ± 0.0319
FingerMovements,linear_additive_split_sinusoidal,252,50,2,0.4790,0.0367,10,0.0262,0.4790 ± 0.0262
FingerMovements,linear_circular_conv_sinusoidal,252,50,2,0.5257,0.0079,7,0.0073,0.5257 ± 0.0073
FingerMovements,linear_component_wise_sinusoidal,252,50,2,0.5089,0.0176,9,0.0136,0.5089 ± 0.0136
HandMovementDirection,1d_conv_additive_sinusoidal,128,400,4,0.2267,0.0404,9,0.0311,0.2267 ± 0.0311
HandMovementDirection,1d_conv_circular_conv_sinusoidal,128,400,4,0.5045,0.0406,9,0.0312,0.5045 ± 0.0312
HandMovementDirection,1d_conv_circular_conv_split_sinusoidal,128,400,4,0.5095,0.0552,10,0.0395,0.5095 ± 0.0395
HandMovementDirection,1d_conv_component_wise_sinusoidal,128,400,4,0.4324,0.0876,10,0.0626,0.4324 ± 0.0626
HandMovementDirection,linear_additive_sinusoidal,128,400,4,0.2598,0.0452,9,0.0348,0.2598 ± 0.0348
HandMovementDirection,linear_additive_split_sinusoidal,128,400,4,0.2311,0.0499,10,0.0357,0.2311 ± 0.0357
HandMovementDirection,linear_circular_conv_sinusoidal,128,400,4,0.5189,0.0332,10,0.0238,0.5189 ± 0.0238
HandMovementDirection,linear_component_wise_sinusoidal,128,400,4,0.4749,0.0198,7,0.0183,0.4749 ± 0.0183
Handwriting,1d_conv_additive_sinusoidal,120,152,26,0.1995,0.0230,9,0.0177,0.1995 ± 0.0177
Handwriting,1d_conv_circular_conv_sinusoidal,120,152,26,0.1160,0.0430,10,0.0307,0.1160 ± 0.0307
Handwriting,1d_conv_circular_conv_split_sinusoidal,120,152,26,0.1554,0.0204,10,0.0146,0.1554 ± 0.0146
Handwriting,1d_conv_component_wise_sinusoidal,120,152,26,0.1565,0.0347,9,0.0267,0.1565 ± 0.0267
Handwriting,linear_additive_sinusoidal,120,152,26,0.0805,0.0299,10,0.0214,0.0805 ± 0.0214
Handwriting,linear_additive_split_sinusoidal,120,152,26,0.0822,0.0299,10,0.0214,0.0822 ± 0.0214
Handwriting,linear_circular_conv_sinusoidal,120,152,26,0.1568,0.0251,10,0.0180,0.1568 ± 0.0180
Handwriting,linear_component_wise_sinusoidal,120,152,26,0.1315,0.0287,10,0.0205,0.1315 ± 0.0205
Heartbeat,1d_conv_additive_sinusoidal,163,405,2,0.4941,0.0709,10,0.0507,0.4941 ± 0.0507
Heartbeat,1d_conv_circular_conv_sinusoidal,163,405,2,0.7356,0.0110,10,0.0079,0.7356 ± 0.0079
Heartbeat,1d_conv_circular_conv_split_sinusoidal,163,405,2,0.7293,0.0127,10,0.0091,0.7293 ± 0.0091
Heartbeat,1d_conv_component_wise_sinusoidal,163,405,2,0.7341,0.0091,8,0.0076,0.7341 ± 0.0076
Heartbeat,linear_additive_sinusoidal,163,405,2,0.7425,0.0208,10,0.0149,0.7425 ± 0.0149
Heartbeat,linear_additive_split_sinusoidal,163,405,2,0.7447,0.0186,9,0.0143,0.7447 ± 0.0143
Heartbeat,linear_circular_conv_sinusoidal,163,405,2,0.7386,0.0186,10,0.0133,0.7386 ± 0.0133
Heartbeat,linear_component_wise_sinusoidal,163,405,2,0.7346,0.0192,10,0.0138,0.7346 ± 0.0138
InsectWingbeat,1d_conv_additive_sinusoidal,20000,22,10,0.0985,0.0069,10,0.0049,0.0985 ± 0.0049
InsectWingbeat,1d_conv_circular_conv_sinusoidal,20000,22,10,0.5705,0.0006,6,0.0007,0.5705 ± 0.0007
InsectWingbeat,1d_conv_circular_conv_split_sinusoidal,20000,22,10,0.5537,0.0044,10,0.0031,0.5537 ± 0.0031
InsectWingbeat,1d_conv_component_wise_sinusoidal,20000,22,10,0.5871,0.0045,10,0.0032,0.5871 ± 0.0032
InsectWingbeat,linear_additive_sinusoidal,20000,22,10,0.5757,0.0041,8,0.0034,0.5757 ± 0.0034
InsectWingbeat,linear_additive_split_sinusoidal,20000,22,10,0.5781,0.0047,10,0.0034,0.5781 ± 0.0034
InsectWingbeat,linear_circular_conv_sinusoidal,20000,22,10,0.6031,0.0085,10,0.0061,0.6031 ± 0.0061
InsectWingbeat,linear_component_wise_sinusoidal,20000,22,10,0.6123,0.0038,10,0.0027,0.6123 ± 0.0027
LSST,1d_conv_additive_sinusoidal,1967,36,14,0.0501,0.0323,8,0.0270,0.0501 ± 0.0270
LSST,1d_conv_circular_conv_sinusoidal,1967,36,14,0.5652,0.0106,8,0.0089,0.5652 ± 0.0089
LSST,1d_conv_circular_conv_split_sinusoidal,1967,36,14,0.5502,0.0090,9,0.0069,0.5502 ± 0.0069
LSST,1d_conv_component_wise_sinusoidal,1967,36,14,0.6101,0.0048,7,0.0044,0.6101 ± 0.0044
LSST,linear_additive_sinusoidal,1967,36,14,0.5847,0.0106,9,0.0082,0.5847 ± 0.0082
LSST,linear_additive_split_sinusoidal,1967,36,14,0.5703,0.0165,10,0.0118,0.5703 ± 0.0118
LSST,linear_circular_conv_sinusoidal,1967,36,14,0.5398,0.0154,9,0.0119,0.5398 ± 0.0119
