dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
EthanolConcentration,linear_conv_learnable_random_pe,208,1751,4,0.2620,0.0225,10,0.0161,0.2620 ± 0.0161
EthanolConcentration,linear_conv_learnable_sinusoidal,208,1751,4,0.2624,0.0265,10,0.0190,0.2624 ± 0.0190
EthanolConcentration,linear_conv_random_pe,208,1751,4,0.2586,0.0235,10,0.0168,0.2586 ± 0.0168
EthanolConcentration,linear_conv_sinusoidal,208,1751,4,0.2620,0.0191,10,0.0137,0.2620 ± 0.0137
EthanolConcentration,linear_no_pe,208,1751,4,0.2373,0.0211,10,0.0151,0.2373 ± 0.0151
FaceDetection,linear_conv_0_8_gaussian_fpe,4712,62,2,0.6302,0.0027,8,0.0023,0.6302 ± 0.0023
FaceDetection,linear_conv_1_sinc_fpe,4712,62,2,0.6054,0.0053,9,0.0041,0.6054 ± 0.0041
FaceDetection,linear_conv_2_sinc_fpe,4712,62,2,0.6289,0.0055,10,0.0040,0.6289 ± 0.0040
FaceDetection,linear_conv_5_sinc_fpe,4712,62,2,0.6670,0.0052,10,0.0038,0.6670 ± 0.0038
FaceDetection,linear_conv_learnable_random_pe,4712,62,2,0.6542,0.0090,10,0.0064,0.6542 ± 0.0064
FaceDetection,linear_conv_learnable_sinusoidal,4712,62,2,0.6624,0.0062,10,0.0045,0.6624 ± 0.0045
FaceDetection,linear_conv_random_pe,4712,62,2,0.6337,0.0083,10,0.0060,0.6337 ± 0.0060
FaceDetection,linear_conv_sinusoidal,4712,62,2,0.6567,0.0061,10,0.0043,0.6567 ± 0.0043
FaceDetection,linear_no_pe,4712,62,2,0.5374,0.0050,9,0.0038,0.5374 ± 0.0038
FingerMovements,linear_conv_0_8_gaussian_fpe,252,50,2,0.4980,0.0442,10,0.0316,0.4980 ± 0.0316
FingerMovements,linear_conv_1_sinc_fpe,252,50,2,0.5067,0.0194,9,0.0149,0.5067 ± 0.0149
FingerMovements,linear_conv_2_sinc_fpe,252,50,2,0.5160,0.0465,10,0.0332,0.5160 ± 0.0332
FingerMovements,linear_conv_5_sinc_fpe,252,50,2,0.5040,0.0474,10,0.0339,0.5040 ± 0.0339
