dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,n_train_epochs,training_time_seconds
InsectWingbeat,1d_conv_circular_conv_sinusoidal,1,0.6668,0.7346,1.2447,0.5962,1.2886,0.5758,0.8708,200,10,22,20000,25000,5000,35,241.8
InsectWingbeat,linear_additive_sinusoidal,2,,,,,,0.0988,0.7701,200,10,22,20000,25000,5000,1,52.33
InsectWingbeat,1d_conv_additive_sinusoidal,2,,,,,,0.1038,0.8694,200,10,22,20000,25000,5000,1,55.32
InsectWingbeat,linear_component_wise_sinusoidal,2,0.636,0.7477,0.9703,0.6494,0.9955,0.6458,0.7716,200,10,22,20000,25000,5000,22,170.19
InsectWingbeat,1d_conv_component_wise_sinusoidal,2,0.6495,0.7406,1.0661,0.6244,1.0889,0.614,0.8708,200,10,22,20000,25000,5000,19,156.31
InsectWingbeat,linear_circular_conv_sinusoidal,2,0.7991,0.6822,1.0678,0.6146,1.0858,0.6044,0.7716,200,10,22,20000,25000,5000,44,285.31
InsectWingbeat,1d_conv_circular_conv_sinusoidal,2,0.7798,0.6849,1.1813,0.5846,1.2035,0.5772,0.8708,200,10,22,20000,25000,5000,27,197.76
InsectWingbeat,linear_additive_sinusoidal,3,,,,,,0.0991,0.7701,200,10,22,20000,25000,5000,1,53.74
InsectWingbeat,1d_conv_additive_sinusoidal,3,,,,,,0.0942,0.8694,200,10,22,20000,25000,5000,1,55.64
InsectWingbeat,linear_component_wise_sinusoidal,3,0.5702,0.7738,1.0289,0.6534,1.0392,0.6479,0.7716,200,10,22,20000,25000,5000,28,202.01
InsectWingbeat,1d_conv_component_wise_sinusoidal,3,0.7136,0.7134,1.0481,0.6196,1.0785,0.6079,0.8708,200,10,22,20000,25000,5000,21,168.53
InsectWingbeat,linear_circular_conv_sinusoidal,3,0.7902,0.6876,1.1317,0.6008,1.1357,0.5967,0.7716,200,10,22,20000,25000,5000,40,262.57
InsectWingbeat,1d_conv_circular_conv_sinusoidal,3,0.7784,0.6886,1.1851,0.579,1.1697,0.5746,0.8708,200,10,22,20000,25000,5000,28,201.63
InsectWingbeat,linear_additive_sinusoidal,4,,,,,,0.105,0.7701,200,10,22,20000,25000,5000,1,54.88
InsectWingbeat,1d_conv_additive_sinusoidal,4,,,,,,0.0994,0.8694,200,10,22,20000,25000,5000,1,55.62
InsectWingbeat,linear_component_wise_sinusoidal,4,,,,,2.3588,0.103,0.7713,200,10,22,20000,25000,5000,1,56.49
InsectWingbeat,1d_conv_component_wise_sinusoidal,4,0.5815,0.7714,1.1386,0.627,1.1594,0.6152,0.8708,200,10,22,20000,25000,5000,21,165.69
InsectWingbeat,linear_circular_conv_sinusoidal,4,0.8419,0.6653,1.0726,0.6058,1.1184,0.5869,0.7716,200,10,22,20000,25000,5000,39,262.04
InsectWingbeat,1d_conv_circular_conv_sinusoidal,4,0.7513,0.6949,1.2281,0.5824,1.237,0.5734,0.8708,200,10,22,20000,25000,5000,26,191.65
InsectWingbeat,linear_additive_sinusoidal,5,,,,,,0.0914,0.7701,200,10,22,20000,25000,5000,1,55.26
InsectWingbeat,1d_conv_additive_sinusoidal,5,,,,,,0.0987,0.8694,200,10,22,20000,25000,5000,1,55.5
InsectWingbeat,linear_component_wise_sinusoidal,5,0.6266,0.7495,1.0013,0.6558,0.9924,0.6454,0.7716,200,10,22,20000,25000,5000,25,182.9
InsectWingbeat,1d_conv_component_wise_sinusoidal,5,0.5639,0.7736,1.1629,0.6162,1.1606,0.611,0.8708,200,10,22,20000,25000,5000,21,166.72
InsectWingbeat,linear_circular_conv_sinusoidal,5,0.8125,0.6791,1.0764,0.6108,1.0942,0.5981,0.7716,200,10,22,20000,25000,5000,38,254.79
InsectWingbeat,1d_conv_circular_conv_sinusoidal,5,0.6996,0.718,1.2343,0.5926,1.2473,0.5757,0.8708,200,10,22,20000,25000,5000,36,245.95
InsectWingbeat,linear_additive_sinusoidal,6,,,,,,0.1144,0.7701,200,10,22,20000,25000,5000,1,54.33
InsectWingbeat,1d_conv_additive_sinusoidal,6,,,,,,0.0975,0.8694,200,10,22,20000,25000,5000,1,56.18
