dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
InsectWingbeat,linear_rope,6,0.6682,0.8512,0.5986,1.0874,1.1252,0.5889,0.2798,200,10,22,20000,25000,5000,32,34.63
InsectWingbeat,convtran,6,0.1915,,0.3068,,,0.2984,12.7525,200,10,22,20000,25000,5000,2,12.75
InsectWingbeat,linear_mla,6,0.7326,0.6995,0.632,0.9852,1.0117,0.6296,0.3084,200,10,22,20000,25000,5000,28,33.64
InsectWingbeat,linear_conv_adaptive_sin_pe,7,0.7106,0.7321,0.6226,1.052,1.0738,0.6149,0.2731,200,10,22,20000,25000,5000,31,56.3
InsectWingbeat,linear_rope,7,0.6817,0.8313,0.6072,1.0962,1.1391,0.5851,0.2798,200,10,22,20000,25000,5000,27,30.22
InsectWingbeat,convtran,7,0.1313,,0.2432,,,0.2313,12.7525,200,10,22,20000,25000,5000,2,12.68
InsectWingbeat,linear_mla,7,0.7334,0.7047,0.6414,0.964,1.0126,0.6284,0.3084,200,10,22,20000,25000,5000,29,35.38
InsectWingbeat,linear_conv_adaptive_sin_pe,8,0.7141,0.7332,0.626,1.0489,1.0755,0.6148,0.2731,200,10,22,20000,25000,5000,28,51.37
InsectWingbeat,linear_rope,8,0.6618,0.8812,0.605,1.0777,1.0901,0.5931,0.2798,200,10,22,20000,25000,5000,27,29.66
InsectWingbeat,convtran,8,0.1307,,0.1724,,,0.1604,12.7525,200,10,22,20000,25000,5000,2,12.62
InsectWingbeat,linear_mla,8,0.7476,0.6594,0.6428,0.9599,1.0146,0.6343,0.3084,200,10,22,20000,25000,5000,33,38.4
InsectWingbeat,linear_conv_adaptive_sin_pe,9,0.7203,0.7157,0.6268,1.055,1.0945,0.6144,0.2731,200,10,22,20000,25000,5000,31,56.65
InsectWingbeat,linear_rope,9,0.6944,0.7943,0.6076,1.098,1.1348,0.5938,0.2798,200,10,22,20000,25000,5000,28,30.52
InsectWingbeat,convtran,9,0.1455,,0.1564,,,0.1628,12.7525,200,10,22,20000,25000,5000,2,12.68
InsectWingbeat,linear_mla,9,0.7389,0.6792,0.6408,0.9724,0.9983,0.6302,0.3084,200,10,22,20000,25000,5000,27,32.5
InsectWingbeat,linear_conv_adaptive_sin_pe,10,0.6968,0.7768,0.6284,1.0285,1.066,0.6106,0.2731,200,10,22,20000,25000,5000,27,50.77
InsectWingbeat,linear_rope,10,0.6884,0.802,0.608,1.0959,1.117,0.5982,0.2798,200,10,22,20000,25000,5000,28,31.43
InsectWingbeat,convtran,10,0.1984,,0.3148,,,0.306,12.7525,200,10,22,20000,25000,5000,2,12.89
InsectWingbeat,linear_mla,10,0.724,0.7164,0.642,0.9639,1.0192,0.6247,0.3084,200,10,22,20000,25000,5000,27,33.03
PenDigits,linear_conv_adaptive_sin_pe,1,0.9795,0.0618,0.98,0.0764,0.1762,0.9568,0.2046,2,10,8,5995,3498,1499,68,43.4
PenDigits,linear_rope,1,0.9104,0.2821,0.9213,0.2746,0.3079,0.9022,0.2113,2,10,8,5995,3498,1499,43,19.54
PenDigits,convtran,1,0.9962,0.0134,0.994,0.0369,0.0851,0.9789,0.3535,2,10,8,5995,3498,1499,55,21.83
PenDigits,linear_mla,1,0.9671,0.1083,0.966,0.1148,0.2346,0.9383,0.2399,2,10,8,5995,3498,1499,60,26.74
